stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,use_of_water_in_down_stream,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,remark,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
1312,08-05-2025,Aug,16:30:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,1.0,28.0,6.7,8.4,575.0,3.2,0.54,1.8(BDL),35,1.8(BDL),1(BDL),6,122,58.48,16.0,1.68,0.43,144.0,64.0,80.0,72,60.44,497.0,448.0,10(BDL),0.78,0.58,2.88,0.5,,19°29.263',75°22.272',NWMP_August2025_MPCB_0.csv,6.7,0.54,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2158,08-05-2025,Aug,16:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.6,8.3,576.0,3.2,0.52,1.8(BDL),25,1.8(BDL),1.02,6,120,63.48,16.0,2.8,0.86,142.0,66.0,76.0,68.88,61.1,489.0,441.0,11,0.71,0.61,3.14,0.41,,19°30.887,75°22.457,NWMP_August2025_MPCB_0.csv,6.6,0.52,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2159,08-05-2025,Aug,17:15:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.9,8.5,573.0,3.2,0.56,1.8(BDL),20,1.8(BDL),1.02,6,140,58.98,16.0,3.36,1.8,140.0,62.0,78.0,68.54,67.84,491.0,442.0,11,0.76,0.56,3.16,0.45,,19°28.835,75°23.835,NWMP_August2025_MPCB_0.csv,6.9,0.56,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2160,08-05-2025,Aug,15:00:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,7,7.9,592.0,3.4,0.58,1.8(BDL),13,1.8(BDL),1.02,6,140,55.98,20.0,2.24,0.4,140.0,72.0,68.0,73.3,55.38,479.0,612.0,10(BDL),1.47,0.55,3.13,0.6,,19°37.463,75°01.490,NWMP_August2025_MPCB_0.csv,7.0,0.58,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.4 > 3),1,0.34,Low Risk,High
2161,08-04-2025,Aug,15:30:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,2.0,29.0,6.6,8.7,922.0,3.8,0.63,1.8(BDL),14,1.8(BDL),1.03,6,130,98.47,20.0,1.68,0.44,160.0,82.0,78.0,128.8,114.98,765.0,689.0,12,0.33,0.56,4.57,0.49,,19°21.392,75°42.870,NWMP_August2025_MPCB_0.csv,6.6,0.63,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3); pH (8.7 not in 6.5-8.5),2,1.41,Low Risk,High
2657,08-04-2025,Aug,13:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,0.5,30.0,7.1,8.6,356.0,3.0,0.7,1.8(BDL),17,1.8(BDL),1.01,6,140,13,16.0,5.6,2.28,120.0,60.0,60.0,21.1,20.8,316.0,285.0,10(BDL),1.12,0.55,1.54,0.95,,18° 54.922,75° 44.236,NWMP_August2025_MPCB_0.csv,7.1,0.7,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,pH (8.6 not in 6.5-8.5),1,0.36,Low Risk,High
2157,08-03-2025,Aug,08:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,,A (Drinking Water source without conventional treatment but after disinfection),,,Cloudy,50-100cm,Fishing,Yes,Light Brown,Odor Free,1.0,20.0,7,8.3,506.0,3.2,1.8,1.8(BDL),21,1.8(BDL),1.2,6,150,52.48,16.0,3.36,1.35,140.0,64.0,76.0,46.5,46.91,418.0,377.0,12,0.2(BDL),0.56,4.48,0.99,,18°33.243,76°08.899,NWMP_August2025_MPCB_0.csv,7.0,1.8,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2673,08-03-2025,Aug,09:00:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,A (Drinking Water source without conventional treatment but after disinfection),,Muncipal Sewage,Cloudy,50-100cm,"Washing,Fishing",Yes,Light Brown,Fishy,8.0,22.0,6.8,8.5,526.0,3.6,1.95,1.8(BDL),25,1.8(BDL),1.22,6,148,50.48,20.0,5.04,2.54,120.0,60.0,60.0,56.86,48.67,441.0,397.0,10(BDL),1,0.58,4.17,0.72,,18° 25.826,76° 40.253,NWMP_August2025_MPCB_0.csv,6.8,1.95,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3),1,0.51,Low Risk,High
1209,08-05-2025,Aug,11:30:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,,0.0,31.0,6,8.1,721.0,3.8,3.2,1.8(BDL),21,1.8(BDL),1.03,6,100,54.98,16.0,4.48,0.41,148.0,64.0,84.0,63.3,46.8,353.0,318.0,10(BDL),0.77,0.53,3.24,0.89,,18°53.781,77°40.660,NWMP_August2025_MPCB_0.csv,6.0,3.2,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
1210,08-05-2025,Aug,08:30:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Fishing,Boating,Tourism Spot",Yes,Clear,,0.0,31.0,6.4,8.3,409.0,3.8,2.1,1.8(BDL),15,1.8(BDL),1.27,6,142,32.49,20.0,2.24,1.49,130.0,60.0,70.0,60.7,44.39,355.0,320.0,12,0.49,0.53,3.05,0.46,,19°07.611,77°16.763,NWMP_August2025_MPCB_0.csv,6.4,2.1,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
