stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,nitrite_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
1312,07-03-2025,Jul,14:45:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,1.0,28.0,7.2,8.6,607.0,2.2,0.44,,1.8(BDL),25.0,1.8(BDL),1.06,5(BDL),160,65.48,8.0,2.24,0.92,130.0,64.0,66.0,76.9,59.8,496.0,447.0,10(BDL),0.82,0.51,3.35,0.68,19°29.263',75°22.272',NWMP_July2025.csv,7.2,0.44,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,pH (8.6 not in 6.5-8.5),1,0.36,Low Risk,High
2158,07-03-2025,Jul,14:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.3,8.6,610.0,3.6,0.43,,1.8(BDL),20.0,1.8(BDL),1.3,6,160,66.48,16.0,1.68,1.33,140.0,72.0,68.0,95.5,63.43,493.0,444.0,10(BDL),0.98,0.54,3.3,0.97,19°30.887,75°22.457,NWMP_July2025.csv,6.3,0.43,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3); pH (8.6 not in 6.5-8.5),2,0.87,Low Risk,High
2159,07-03-2025,Jul,16:00:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,7.4,8.6,613.0,2.2,0.41,,1.8(BDL),13.0,1.8(BDL),1.01,5(BDL),160,64.98,8.0,2.8,1.18,150.0,70.0,80.0,61.5,59.78,509.0,459.0,11,0.9,0.53,3.36,0.55,19°28.835,75°23.835,NWMP_July2025.csv,7.4,0.41,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,pH (8.6 not in 6.5-8.5),1,0.36,Low Risk,High
2160,07-03-2025,Jul,13:00:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,5.7,8.6,611.0,4.2,0.43,,1.8(BDL),17.0,1.8(BDL),1.8,5(BDL),142,65.98,16.0,3.36,1.6,140.0,70.0,70.0,79.04,61.75,515.0,464.0,11,0.87,0.56,3.43,0.67,19°37.463,75°01.490,NWMP_July2025.csv,5.7,0.43,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.2 > 3); pH (8.6 not in 6.5-8.5),2,1.38,Low Risk,High
2161,07-09-2025,Jul,14:15:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,1.5,30.0,6.4,8.4,989.0,3.0,1.34,,1.8(BDL),21.0,1.8(BDL),1.88,6,140,112.96,12.0,2.24,1.14,238.0,102.0,136.0,232.7,111.8,806.0,726.0,19,0.8,0.56,5.83,0.56,19°21.392,75°42.870,NWMP_July2025.csv,6.4,1.34,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2657,07-03-2025,Jul,14:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,,1.0,30.0,7.2,8.4,350.0,2.2,0.94,,1.8(BDL),21.0,1.8(BDL),1.03,6,162,13.0,8.0,2.24,1.69,140.0,72.0,68.0,79.04,23.68,309.0,279.0,33,0.99,0.52,1.83,0.66,18° 54.922,75° 44.236,NWMP_July2025.csv,7.2,0.94,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,,,Compliant_Based_On_Available_Parameters,Compliant,3,"DO, BOD, pH",None,High,None,0,0.0,Low Risk,High
2157,07-02-2025,Jul,06:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,,A (Drinking Water source without conventional treatment but after disinfection),,Cloudy,Less than 50cm,Fishing,Yes,Light Brown,,1.0,21.0,6.5,8.2,457.0,3.8,0.79,,1.8(BDL),16.0,1.8(BDL),1.44,5(BDL),160,38.99,16.0,1.68,0.67,130.0,60.0,70.0,36.36,30.72,383.0,345.0,11,1.84,0.51,3.55,0.67,18°33.243,76°08.899,NWMP_July2025.csv,6.5,0.79,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
2673,07-02-2025,Jul,07:00:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,A (Drinking Water source without conventional treatment but after disinfection),Muncipal Sewage,Cloudy,Less than 50cm,Washing,Yes,Clear,,1.0,20.0,5.8,8.0,610.0,4.2,2.4,,1.8(BDL),21.0,1.8(BDL),1.23,5(BDL),160,75.98,20.0,2.8,0.64,170.0,80.0,90.0,51.46,46.44,502.0,452.0,32,0.45,0.52,5.05,0.55,18° 25.826,76° 40.253,NWMP_July2025.csv,5.8,2.4,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.2 > 3),1,1.02,Low Risk,High
1209,07-03-2025,Jul,06:45:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,,0.0,16.0,5.6,8.3,682.0,4.2,0.9,,1.8(BDL),14.0,1.8(BDL),1.52,5(BDL),150,66.98,20.0,3.36,0.49,150.0,60.0,90.0,99.72,64.26,557.0,502.0,13,0.97,0.55,4.03,0.39,18°53.781,77°40.660,NWMP_July2025.csv,5.6,0.9,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.2 > 3),1,1.02,Low Risk,High
1210,07-03-2025,Jul,09:00:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Fishing,Boating,Tourism Spot",Yes,Clear,,0.0,18.0,6.3,8.2,674.0,3.6,0.85,,1.8(BDL),30.0,1.8(BDL),1.47,6,162,63.98,16.0,2.24,0.83,180.0,82.0,98.0,94,64.54,556.0,501.0,10(BDL),1.05,0.53,4.07,0.81,19°07.611,77°16.763,NWMP_July2025.csv,6.3,0.85,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3),1,0.51,Low Risk,High
