stn_code,sampling_date,month,sampling_time,stn_name,type_water_body,name_of_water_body,river_basin,district,state_name,mon_agency,frequency,major_polluting_sources,use_based_class,use_of_water_in_down_stream,visibility_effluent_discharge,weather,approx_depth,human_activities,floating_matter,color,odor,flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,remark,latitude,longitude,source_file,dissolved_oxygen,nitrate,station_name,river_name,year,season,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
1312,09-04-2025,Sep,13:30:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,,1.0,28.0,6.5,8.3,547.0,3.6,0.92,1.8(BDL),17.0,1.8(BDL),1.1,6,142,53.98,16.0,2.8,0.98,80.0,46.0,34.0,97.56,49.87,448.0,404.0,15,0.4,0.5(BDL),2.94,0.77,,19°29.263',75°22.272',NWMP_September2025_MPCB_0.csv,6.5,0.92,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3),1,0.51,Low Risk,High
2158,09-04-2025,Sep,14:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.5,8.3,549.0,3.6,0.82,1.8(BDL),20.0,1.8(BDL),1.06,6,140,55.98,16.0,1.68,0.41,100.0,44.0,54.0,55.06,55.51,459.0,414.0,14,0.5,0.55,3.01,0.42,,19°30.887,75°22.457,NWMP_September2025_MPCB_0.csv,6.5,0.82,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3),1,0.51,Low Risk,High
2159,09-04-2025,Sep,14:30:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.8,8.3,547.0,3.2,0.75,1.8(BDL),25.0,1.8(BDL),1.05,5(BDL),142,26.99,12.0,2.24,0.43,86.0,40.0,42.0,102.04,54.27,449.0,405.0,12,0.62,0.51,2.92,0.24,,19°28.835,75°23.835,NWMP_September2025_MPCB_0.csv,6.8,0.75,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2160,09-04-2025,Sep,12:15:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3.0,28.0,6.9,8.3,547.0,3.2,0.99,1.8(BDL),21.0,1.8(BDL),1.12,6,138,53.98,12.0,1.68,0.4,100.0,44.0,54.0,77.5,53.72,451.0,406.0,12,0.29,0.57,2.89,0.32,,19°37.463,75°01.490,NWMP_September2025_MPCB_0.csv,6.9,0.99,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2161,09-03-2025,Sep,17:00:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,2.5,25.0,6,8.4,348.0,3.6,0.74,1.8(BDL),35.0,1.8(BDL),1.2,5(BDL),136,13,16.0,2.8,0.43,82.0,42.0,40.0,21.36,19.96,284.0,256.0,11,0.4,0.51,1.34,0.2(BDL),,19°21.392,75°42.870,NWMP_September2025_MPCB_0.csv,6.0,0.74,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.6 > 3),1,0.51,Low Risk,High
2657,09-03-2025,Sep,15:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Others,Yes,Clear,,1.5,24.0,6.6,8.4,352.0,3.2,1.1,1.8(BDL),21.0,1.8(BDL),1(BDL),6,140,12,12.0,1.68,0.43,80.0,40.0,40.0,33.12,20.59,288.0,260.0,13,0.29,0.5(BDL),1.27,0.3,,18° 54.922,75° 44.236,NWMP_September2025_MPCB_0.csv,6.6,1.1,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.2 > 3),1,0.17,Low Risk,High
2157,09-02-2025,Sep,08:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,,A (Drinking Water source without conventional treatment but after disinfection),,,Cloudy,Greater than 100cm,Fishing,Yes,Light Brown,,1.0,19.0,6.4,8.3,449.0,4.2,1.28,1.8(BDL),30.0,1.8(BDL),1.1,5(BDL),140,41.99,20.0,1.68,0.59,80.0,40.0,40.0,96.52,34.48,372.0,335.0,14,0.29,0.53,3.39,0.66,,18°33.243,76°08.899,NWMP_September2025_MPCB_0.csv,6.4,1.28,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.2 > 3),1,1.02,Low Risk,High
2673,09-02-2025,Sep,07:30:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Bathing,Fishing",Yes,Clear,,0.0,18.0,5.8,8.3,471.0,3.8,1,1.8(BDL),25.0,,1.01,6,142,39.99,16.0,2.24,0.51,100.0,42.0,58.0,56.44,38.22,396.0,357.0,18,0.21,0.56,3.1,0.96,,18° 25.826,76° 40.253,NWMP_September2025_MPCB_0.csv,5.8,1,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
1209,09-05-2025,Sep,11:30:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,,0.0,32.0,6,8.1,721.0,3.8,3.2,1.8(BDL),21.0,1.8(BDL),1.03,6,100,54.98,16.0,4.48,0.41,148.0,64.0,84.0,63.3,46.8,353.0,318.0,10(BDL),0.77,0.53,3.24,0.89,,18°53.781,77°40.660,NWMP_September2025_MPCB_0.csv,6.0,3.2,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (3.8 > 3),1,0.68,Low Risk,High
1210,09-03-2025,Sep,10:15:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Clear,Less than 50cm,"Fishing,Boating,Tourism Spot",Yes,Clear,,0.0,22.0,5.9,8.2,504.0,4.0,1.68,1.8(BDL),25.0,1.8(BDL),1.1,6,136,43.99,20.0,3.36,1.1,80.0,40.0,40.0,72.84,39.49,423.0,381.0,12,0.29,0.58,2.96,0.94,,19°07.611,77°16.763,NWMP_September2025_MPCB_0.csv,5.9,1.68,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,,,Non-Compliant,Non-Compliant,3,"DO, BOD, pH",None,High,BOD (4.0 > 3),1,0.85,Low Risk,High
