station_code,monitoring_location,state,river_basin,year,spatial_tags,primary_position,station_base_name,station_group,has_us_ds_pair,compliance_label,compliance_label_encoded,is_safe,class_weight,binary_class_weight,temperature_min_c,temperature_max_c,dissolved_oxygen_min_mgl,dissolved_oxygen_max_mgl,ph_min,ph_max,conductivity_min_umho_cm,conductivity_max_umho_cm,bod_min_mgl,bod_max_mgl,nitrate_n_min_mgl,nitrate_n_max_mgl,fecal_coliform_min_mpn100ml,fecal_coliform_max_mpn100ml,total_coliform_min_mpn100ml,total_coliform_max_mpn100ml,fecal_streptococci_min_mpn100ml,fecal_streptococci_max_mpn100ml,temperature_mean_c,dissolved_oxygen_mean_mgl,ph_mean,conductivity_mean_umho_cm,bod_mean_mgl,nitrate_n_mean_mgl,fecal_coliform_mean_mpn100ml,total_coliform_mean_mpn100ml,fecal_streptococci_mean_mpn100ml,temperature_mean_c_minmax,dissolved_oxygen_mean_mgl_minmax,ph_mean_minmax,conductivity_mean_umho_cm_minmax,bod_mean_mgl_minmax,nitrate_n_mean_mgl_minmax,fecal_coliform_mean_mpn100ml_minmax,total_coliform_mean_mpn100ml_minmax,fecal_streptococci_mean_mpn100ml_minmax,temperature_mean_c_zscore,dissolved_oxygen_mean_mgl_zscore,ph_mean_zscore,conductivity_mean_umho_cm_zscore,bod_mean_mgl_zscore,nitrate_n_mean_mgl_zscore,fecal_coliform_mean_mpn100ml_zscore,total_coliform_mean_mpn100ml_zscore,fecal_streptococci_mean_mpn100ml_zscore,source_file,dissolved_oxygen,bod,ph,temperature,conductivity,nitrate,fecal_coliform,total_coliform,fecal_streptococci,turbidity,cod,total_dissolved_solids,station_name,river_name,sampling_date,month,season,latitude,longitude,available_compliance_label,strict_compliance_label,core_parameter_count,available_compliance_parameters,missing_required_parameters,label_confidence,violation_reasons,violation_count,risk_score,risk_category,risk_confidence
1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,RIVER BEAS MANALI,BEAS|RIVER BEAS MANALI,True,Class_B,1,1,0.660625,0.8081039755351682,2.0,17.0,7.2,9.9,7.31,8.19,74.0,403.0,0.0,0.0,0.32,1.22,11.0,110.0,94.0,540.0,0.0,0.0,9.5,8.55,7.75,238.5,0.0,0.77,60.5,317.0,0.0,0.238095238095238,0.75,0.0198811032063151,0.0046597385182701,0.0,0.0019472719226149,5.041204556249011e-06,3.962326648209141e-06,0.0,-2.9275224063147487,0.9954971833434906,-0.004423737311687,-0.2319524674183312,-0.4862047984678088,-0.1525760979764115,-0.0922058792040665,-0.0648587201410262,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.2,0.0,,2.0,,,11.0,94.0,0.0,,,,1001,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANALI,BEAS|RIVER BEAS MANALI,True,Class_C,2,1,0.6046910755148741,0.8081039755351682,2.0,10.0,7.9,9.9,7.06,8.48,68.0,133.0,1.8,1.8,0.33,1.49,94.0,1600.0,540.0,1600.0,0.0,0.0,6.0,8.9,7.77,100.5,1.8,0.91,847.0,1070.0,0.0,0.1269841269841269,0.7807017543859649,0.0199590683169281,0.0015755950385517,0.0122033898305084,0.0023013213630903,7.057686378748614e-05,1.3374414869349464e-05,0.0,-3.6831862305546887,1.1994199534704049,-0.0010205115915088,-0.289393726482567,-0.2713895329331424,-0.1380139806617488,-0.0894378979343014,-0.0644491158740281,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.9,1.8,,2.0,,,94.0,540.0,0.0,,,,2601,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS WASTE PROCESSING FACILITY MANALI,BEAS|RIVER BEAS WASTE PROCESSING FACILITY MANALI,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,2.0,10.0,7.6,9.7,7.22,8.38,50.0,123.0,1.2,2.0,0.32,1.85,110.0,1600.0,540.0,1600.0,0.0,0.0,6.0,8.649999999999999,7.800000000000001,86.5,1.6,1.085,855.0,1070.0,0.0,0.1269841269841269,0.7587719298245612,0.0200760159828476,0.0012627109174209,0.0108474576271186,0.0027438831636846,7.124346934864304e-05,1.3374414869349464e-05,0.0,-3.6831862305546887,1.053760831951179,0.0040843269887586,-0.2952211005905329,-0.2952578957703275,-0.1198113340184204,-0.0894097430072091,-0.0644491158740281,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.6,1.6,,2.0,,,110.0,540.0,0.0,,,,4444,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANALSU NALLAH,BEAS|RIVER BEAS MANALSU NALLAH,False,Class_B,1,1,0.660625,0.8081039755351682,2.0,9.0,7.6,10.0,7.24,8.28,55.0,150.0,0.0,0.0,0.32,1.77,39.0,79.0,210.0,350.0,0.0,0.0,5.5,8.8,7.76,102.5,0.0,1.045,59.0,280.0,0.0,0.1111111111111111,0.7719298245614036,0.0199200857616216,0.0016202927701419,0.0,0.0026427261806916,4.9162160135320925e-06,3.499846881698925e-06,0.0,-3.7911382054461087,1.1411563048627154,-0.0027221244515979,-0.2885612444671432,-0.4862047984678088,-0.1239719389654669,-0.0922111582528963,-0.0648788467783156,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.6,0.0,,2.0,,,39.0,210.0,0.0,,,,4037,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,2022,UPSTREAM|BEFORE|CONFLUENCE,UPSTREAM,RIVER BEAS . MANALSU NALLAH,BEAS|RIVER BEAS . MANALSU NALLAH,False,Class_B,1,1,0.660625,0.8081039755351682,1.0,8.0,7.7,9.9,7.25,8.48,50.0,304.0,0.0,0.0,0.32,1.78,21.0,84.0,140.0,350.0,0.0,0.0,4.5,8.8,7.865,177.0,0.0,1.05,52.5,245.0,0.0,0.0793650793650793,0.7719298245614036,0.0203294025923399,0.0032852832718739,0.0,0.0026553708035657,4.374598995092117e-06,3.06236602148656e-06,0.0,-4.007042155228949,1.1411563048627154,0.0151448105793377,-0.2575512893926102,-0.4862047984678088,-0.1234518633470861,-0.0922340341311588,-0.064897885489265,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.7,0.0,,1.0,,,21.0,140.0,0.0,,,,3866,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,"RIVER BEAS, KULLU","BEAS|RIVER BEAS, KULLU",False,Class_C,2,1,0.6046910755148741,0.8081039755351682,3.0,11.0,7.8,8.9,7.52,8.45,72.0,129.0,0.0,0.0,0.32,1.59,63.0,210.0,280.0,1600.0,0.0,0.0,7.0,8.35,7.984999999999999,100.5,0.0,0.955,136.5,940.0,0.0,0.1587301587301587,0.7324561403508771,0.0207971932560179,0.0015755950385517,0.0,0.0024151229689574,1.1373957387239503e-05,1.174948595998925e-05,0.0,-3.467282280771849,0.8789698861281101,0.0355641649004069,-0.289393726482567,-0.4862047984678088,-0.1333333000963215,-0.0919384073966893,-0.064519831086126,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.8,0.0,,3.0,,,63.0,280.0,0.0,,,,2602,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS WASTE PROCESSING FACILITY KULLU,BEAS|RIVER BEAS WASTE PROCESSING FACILITY KULLU,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,4.0,17.0,7.8,9.7,7.53,8.48,92.0,270.0,1.1,1.1,0.32,1.7,110.0,1600.0,540.0,1600.0,0.0,0.0,10.5,8.75,8.005,181.0,1.1,1.01,855.0,1070.0,0.0,0.2698412698412698,0.7675438596491228,0.0208751583666309,0.0033746787350541,0.007457627118644,0.0025542138205728,7.124346934864304e-05,1.3374414869349464e-05,0.0,-2.711618456531909,1.11202448055887,0.0389673906205854,-0.2558863253617628,-0.3549288028632904,-0.1276124682941326,-0.0894097430072091,-0.0644491158740281,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.8,1.1,,4.0,,,110.0,540.0,0.0,,,,4445,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS KULLU,BEAS|RIVER BEAS KULLU,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,4.0,17.0,7.9,10.1,7.42,8.48,82.0,130.0,1.4,1.4,0.32,1.99,130.0,920.0,540.0,1600.0,0.0,0.0,10.5,9.0,7.95,106.0,1.4,1.155,525.0,1070.0,0.0,0.2698412698412698,0.7894736842105263,0.0206607543124451,0.0016985138004246,0.0094915254237288,0.0029209078839223,4.3745989950921166e-05,1.3374414869349464e-05,0.0,-2.711618456531909,1.2576836020780946,0.0296085198900952,-0.2871044009401517,-0.3191262586075127,-0.1125302753610891,-0.0905711337497678,-0.0644491158740281,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.9,1.4,,4.0,,,130.0,540.0,0.0,,,,1002,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS AUT,BEAS|RIVER BEAS AUT,False,Class_B,1,1,0.660625,0.8081039755351682,6.0,17.0,7.1,8.6,7.27,8.52,58.0,123.0,0.0,0.0,0.32,2.46,43.0,110.0,210.0,540.0,0.0,0.0,11.5,7.85,7.895,90.5,0.0,1.39,76.5,375.0,0.0,0.3015873015873015,0.6885964912280701,0.0204463502582594,0.0013521063806011,0.0,0.0035152051590061,6.374415678562798e-06,4.687294930846776e-06,0.0,-2.495714506749069,0.5876516430896607,0.0202496491596049,-0.2935561365596855,-0.4862047984678088,-0.088086721297191,-0.0921495693498818,-0.0648271702771671,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.1,0.0,,6.0,,,43.0,210.0,0.0,,,,1003,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,"RIVER BEAS, PANDOH DAM","BEAS|RIVER BEAS, PANDOH DAM",False,Class_B,1,1,0.660625,0.8081039755351682,9.0,24.0,8.3,9.5,7.48,8.68,86.0,172.0,0.0,0.0,0.32,1.85,58.0,94.0,280.0,430.0,0.0,0.0,16.5,8.9,8.08,129.0,0.0,1.085,76.0,355.0,0.0,0.4603174603174602,0.7807017543859649,0.0211675275314296,0.002212537713711,0.0,0.0027438831636846,6.332752830990492e-06,4.437305867868281e-06,0.0,-1.416194757834869,1.1994199534704049,0.0517294870712536,-0.2775308577627792,-0.4862047984678088,-0.1198113340184204,-0.0921513290328251,-0.0648380495405668,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,8.3,0.0,,9.0,,,58.0,280.0,0.0,,,,2603,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,Beas,2022,NONE,UNSPECIFIED,RIVER BEAS EXIT DEHAR POWER HOUSE,BEAS|RIVER BEAS EXIT DEHAR POWER HOUSE,False,Class_B,1,1,0.660625,0.8081039755351682,10.0,28.0,8.6,9.7,7.01,8.48,128.0,292.0,0.0,0.0,0.32,1.3,79.0,140.0,240.0,550.0,0.0,0.0,19.0,9.15,7.745,210.0,0.0,0.81,109.5,395.0,0.0,0.5396825396825397,0.8026315789473683,0.0198616119286619,0.0040227958431109,0.0,0.0020484289056078,9.124163618334984e-06,4.93728399382527e-06,0.0,-0.876434883377769,1.3450790749896286,-0.0052745437417315,-0.243815336138119,-0.4862047984678088,-0.148415493029365,-0.0920334302756259,-0.0648162910137674,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,8.6,0.0,,10.0,,,79.0,240.0,0.0,,,,1005,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,"BEAS RIVER, MANDI TOWN","BEAS|BEAS RIVER, MANDI TOWN",False,Class_B,1,1,0.660625,0.8081039755351682,9.0,25.0,7.9,9.6,7.68,8.48,113.0,167.0,0.0,0.0,0.32,1.51,25.0,84.0,150.0,280.0,0.0,0.0,17.0,8.75,8.08,140.0,0.0,0.915,54.5,215.0,0.0,0.4761904761904761,0.7675438596491228,0.0211675275314296,0.0024583752374566,0.0,0.0023139659859644,4.54125038538134e-06,2.687382427018818e-06,0.0,-1.308242782943449,1.11202448055887,0.0517294870712536,-0.2729522066779488,-0.4862047984678088,-0.137493905043368,-0.0922269953993857,-0.0649142043843646,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.9,0.0,,9.0,,,25.0,150.0,0.0,,,,1550,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANDI TOWN,BEAS|RIVER BEAS MANDI TOWN,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,7.0,25.0,7.2,9.5,7.6,8.47,92.0,360.0,1.1,1.1,0.32,1.64,94.0,920.0,350.0,1600.0,0.0,0.0,16.0,8.35,8.035,226.0,1.1,0.98,507.0,975.0,0.0,0.4444444444444444,0.7324561403508771,0.0209921060325504,0.0043803776958319,0.007457627118644,0.002478346083328,4.224612743831815e-05,1.2186966820201616e-05,0.0,-1.524146732726289,0.8789698861281101,0.0440722292008526,-0.2371554800147294,-0.3549288028632904,-0.1307329220044175,-0.0906344823357256,-0.0645007923751766,-0.0326877380510317,india_water_quality_preprocessed_phase1.csv,7.2,1.1,,7.0,,,94.0,350.0,0.0,,,,1006,,,,,,,Compliant_Based_On_Available_Parameters,Insufficient_Data,2,"DO, BOD",pH,Medium,None,0,0.0,Low Risk,Medium
