station_id,station_no,station_name,state,latitude,longitude,site_no,latest_timestamp,bod,cl,cod,conductivity,depth,dissolved_oxygen,nitrate,ph,s,toc,wt,wtb,temperature,fecal_coliform,total_coliform,fecal_streptococci,turbidity,total_dissolved_solids,season,station_position_tag,pollution_context_tag,river_name,available_live_parameters,missing_model_features,core_parameter_count,available_core_parameters,missing_core_parameters,live_data_confidence
11783,WB89,"WB89_Durgapur barrage, Road Bridge",West Bengal,23.4801,87.3049,DSP_SWAN,2026-05-12 08:30:00+00:00,2.52,40.4,11.35,404.3,2.08,7.4,0.3,8.47,67.73,5.04,29.53,1.71,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11784,WB90,WB90_Damodar river Intake well pump house Ramgarh,West Bengal,23.645699,85.527719,DSP_SWAN,2026-05-12 08:30:00+00:00,1.41,48.25,6.34,512.56,0.95,7.81,0.3,8.29,308.55,2.82,30.66,4.12,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11785,UK51,"UK51_Abandoned old  bridge, Rudraprayag ",Uttarakhand,30.274,78.9607,DSP_SWAN,2026-05-12 08:30:00+00:00,8.66,5.0,34.67,156.8,1.41,9.23,0.3,8.03,602.54,17.33,19.47,67.79,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11786,UK53,UK53_D/s of Tehri Dam,Uttarakhand,30.367,78.4794,DSP_SWAN,2026-05-12 06:30:00+00:00,0.5,5.0,5.0,181.7,1.42,8.65,0.3,8.1,641.43,1.0,18.62,12.06,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11787,UK54,"UK54_Distributing Canal, Left Bank, Rishikesh",Uttarakhand,30.07361,78.2903,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,,5.0,172.82,,9.52,0.3,8.08,,1.0,21.32,11.42,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11788,UK55,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",Uttarakhand,29.94153,78.15757,DSP_SWAN,2026-05-12 08:30:00+00:00,0.5,5.0,5.0,200.2,1.7,8.86,33.0,8.13,284.93,1.0,21.3,15.47,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11789,HR56,"HR56_D/s of Mohana, Sonipat",Haryana,28.989211,77.202686,DSP_SWAN,2026-05-12 08:30:00+00:00,3.26,49.49,15.86,549.8,0.85,8.2,3.93,7.75,207.12,7.77,26.49,52.92,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11790,UT57,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Uttar Pradesh,28.685751,77.392687,DSP_SWAN,2026-05-12 08:30:00+00:00,5.23,70.0,21.54,652.6,1.42,1.48,0.79,7.78,206.12,10.92,27.08,60.9,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11791,UT58,"UT58_River Kali East, D/s Meerut city, Kaul vill.",Uttar Pradesh,28.860677,77.795725,DSP_SWAN,2026-05-12 08:30:00+00:00,4.2,42.1,17.55,382.9,1.19,9.13,2.13,8.53,113.74,8.41,32.3,2000.0,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11792,UT59,"UT59_River Kali East, D/s of Bulandshahr",Uttar Pradesh,28.397028,77.863309,DSP_SWAN,2026-05-12 08:30:00+00:00,2.79,,12.55,422.04,,7.76,2.0,8.42,,5.58,31.89,56.81,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11793,UT60,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",Uttar Pradesh,27.44357,77.71386,DSP_SWAN,2026-05-12 08:30:00+00:00,5.1,129.73,30.32,1502.75,1.75,2.28,1.8,7.8,163.8,10.81,31.55,47.45,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11794,UT61,"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",Uttar Pradesh,29.114116,77.44042,DSP_SWAN,2026-05-12 08:30:00+00:00,1.54,,6.38,250.8,,7.67,0.48,7.37,,2.05,28.94,44.3,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11795,UT63,"UT63_River Yamuna, U/s to Sangam at Allahabad",Uttar Pradesh,25.42967,81.86069,DSP_SWAN,2026-05-12 08:30:00+00:00,4.99,42.72,21.2,938.9,0.8,9.14,4.03,8.35,90.8,12.47,31.27,34.44,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11796,UT64,"UT64_Fafamau, Lord Curzon Bridge, Allahabad",Uttar Pradesh,25.504818,81.866305,DSP_SWAN,2026-05-12 08:30:00+00:00,2.91,48.97,12.86,470.2,0.88,7.57,2.47,8.36,93.49,5.72,29.4,35.71,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11797,UT65,"UT65_Balu ghat bridge, Chunar",Uttar Pradesh,25.1316,82.8784,DSP_SWAN,2026-05-12 08:30:00+00:00,3.36,60.95,15.43,515.2,0.82,8.26,2.36,8.4,69.82,7.95,28.63,26.03,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
11798,UT66,"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",Uttar Pradesh,25.5868,83.60569,DSP_SWAN,2026-05-12 08:30:00+00:00,3.11,59.2,15.93,543.3,0.91,7.44,2.07,8.22,62.11,7.78,29.08,33.94,,,,,,,Summer,Unknown,Unknown,,dissolved_oxygen|bod|ph|conductivity|nitrate|cod,temperature|fecal_coliform|total_coliform|fecal_streptococci|turbidity|total_dissolved_solids,3,dissolved_oxygen|bod|ph,None,Full
