ts_id,timestamp,req_timestamp,value,latitude,longitude,ts_name,parameter_longname,ts_shortname,station_id,station_no,station_name,station_longname,unit,parameter_raw_name,parameter_no,site_no,catchment_name,state,ObjectDescription,station_diary_status,station_status_remark,MAX_RANGE,value_numeric,is_numeric_value,source,fetch_mode,parameter
17440010,2026-05-12 08:30:00+00:00,,8.42,25.920256,82.027409,DSP.Cmd.Production,pH,DSP.Cmd.P,11799,UT67,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",,---,pH,pH,DSP_SWAN,---,Uttar Pradesh,,2023-11-05 15:00:00: FM Start: Technical issue<br>2024-10-20 16:00:00: FM End: Technical issue<br>2024-12-18 10:00:00: FM Start: Technical issue<br>2024-12-18 11:00:00: FM End: Technical issue,SDGAN-301,,8.42,True,CPCB_RTWQMS,live_api,ph
17312010,2026-05-12 08:30:00+00:00,,21.3,29.94153,78.15757,DSP.Cmd.Production,Water Temperature,DSP.Cmd.P,11788,UK55,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",,°C,WT,WT,DSP_SWAN,---,Uttarakhand,,2023-07-10 05:30:00: FM Start: Reason<br>2023-07-12 11:00:00: FM End: Reason<br>2023-10-27 11:00:00: FM Start: Low water<br>2023-11-14 09:00:00: FM End: Reason<br>2024-10-16 08:00:00: FM Start: Low water<br>2024-10-31 06:00:00: FM End: Low water,SDGAN-290,,21.3,True,CPCB_RTWQMS,live_api,wt
17227010,2026-05-12 08:30:00+00:00,,1.27,25.6997,85.1937,DSP.Cmd.Production,Biochemical Oxygen Demand,DSP.Cmd.P,11811,BH81,"BH81_Road Bridge on Gandak, Hajipur",,mg/l,BOD,BOD,DSP_SWAN,---,Bihar,,2022-08-07 17:00:00: FM Start: Flood event<br>2022-11-03 13:00:00: FM End: Flood event<br>2023-08-17 14:00:00: FM Start: Reason<br>2023-10-29 15:00:00: FM End: Reason<br>2024-12-16 19:00:00: FM Start: Technical issue<br>2024-12-16 20:00:00: FM End: Technical issue,SDGAN-295,500.0,1.27,True,CPCB_RTWQMS,live_api,bod
17099010,2026-05-12 08:30:00+00:00,,2.91,25.5918,83.9861,DSP.Cmd.Production,Biochemical Oxygen Demand,DSP.Cmd.P,11805,BH74,"BH74_Road bridge on River Ganga, D/s of Buxar",,mg/l,BOD,BOD,DSP_SWAN,---,Bihar,,2022-08-19 17:00:00: FM Start: Flood event<br>2022-09-17 14:00:00: FM End: Flood event<br>2022-09-20 19:30:00: FM Start: Flood event<br>2022-10-29 14:00:00: FM End: Flood event<br>2024-05-21 05:00:00: FM Start: Flood event<br>2024-06-19 13:00:00: FM End: Flood event<br>2024-08-02 15:00:00: FM Start: Flood event<br>2024-08-16 13:00:00: FM End: Flood event<br>2024-12-20 14:00:00: FM Start: Technical issue<br>2024-12-20 15:00:00: FM End: Technical issue,SDGAN-309,500.0,2.91,True,CPCB_RTWQMS,live_api,bod
25030010,2026-05-12 08:30:00+00:00,,2.26,25.920256,82.027409,DSP.Cmd.Production,Depth,DSP.Cmd.P,11799,UT67,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",,m,Depth,Depth,DSP_SWAN,---,Uttar Pradesh,,2023-11-05 15:00:00: FM Start: Technical issue<br>2024-10-20 16:00:00: FM End: Technical issue<br>2024-12-18 10:00:00: FM Start: Technical issue<br>2024-12-18 11:00:00: FM End: Technical issue,SDGAN-301,,2.26,True,CPCB_RTWQMS,live_api,depth
17483010,2026-05-12 08:30:00+00:00,,6.12,28.029453,79.494042,DSP.Cmd.Production,Biochemical Oxygen Demand,DSP.Cmd.P,11803,UT71,UT71_Beladandi Bridge on River Ramganga,,mg/l,BOD,BOD,DSP_SWAN,---,Uttar Pradesh,,2023-09-01 15:00:00: FM Start: Flood event<br>2023-10-18 13:00:00: FM End: Flood event<br>2024-07-22 14:00:00: FM Start: Technical issue<br>2024-07-23 21:00:00: FM End: Technical issue<br>2024-12-23 11:00:00: FM Start: Technical issue<br>2024-12-23 14:00:00: FM End: Technical issue<br>2025-09-27 18:00:00: FM Start: Technical issue<br>2025-10-04 16:00:00: FM End: Technical issue,SDGAN-347,500.0,6.12,True,CPCB_RTWQMS,live_api,bod
39485010,2026-05-12 08:30:00+00:00,,12.94,25.5672,84.7961,DSP.Cmd.Production,Chloride,DSP.Cmd.P,11810,BH80,"BH80_Road bridge on Son, Arrah",,mg/l,CL,CL,DSP_SWAN,---,Bihar,,2022-07-09 00:00:00: FM Start: Low water<br>2022-08-06 00:00:00: FM End: Reason<br>2024-12-21 11:00:00: FM Start: Technical issue<br>2024-12-21 15:00:00: FM End: Technical issue<br>2025-06-21 17:00:00: FM Start: Flood event<br>2025-08-02 13:00:00: FM End: Flood event<br>2025-11-02 08:30:00: FM Start: Flood event<br>2026-04-04 17:00:00: FM End: Flood event,SDGAN-351,,12.94,True,CPCB_RTWQMS,live_api,cl
17355010,2026-05-12 08:30:00+00:00,,1.8,27.44357,77.71386,DSP.Cmd.Production,Nitrate,DSP.Cmd.P,11793,UT60,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",,mg/l,Nitrate,NO3,DSP_SWAN,---,Uttar Pradesh,,2022-08-02 07:00:00: FM Start: Low water<br>2022-08-05 09:00:00: FM End: Reason<br>2022-08-08 10:00:00: FM Start: Low water<br>2022-08-17 08:00:00: FM End: Reason<br>2023-07-11 07:00:00: FM Start: Reason<br>2023-07-20 15:00:00: FM End: Reason<br>2024-12-21 09:00:00: FM Start: Technical issue<br>2024-12-21 10:00:00: FM End: Technical issue,SDGAN-318,,1.8,True,CPCB_RTWQMS,live_api,nitrate
17184010,2026-05-12 08:30:00+00:00,,29.87,25.30783,87.016618,DSP.Cmd.Production,Water Temperature,DSP.Cmd.P,11822,BH75,"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",,°C,WT,WT,DSP_SWAN,---,Bihar,,2022-08-28 08:30:00: FM Start: Flood event<br>2022-09-09 13:00:00: FM End: Reason<br>2024-09-01 12:00:00: FM Start: Flood event<br>2024-11-06 00:00:00: FM End: Flood event<br>2024-12-17 11:00:00: FM Start: Technical issue<br>2024-12-17 14:00:00: FM End: Technical issue,SDGAN-299,,29.87,True,CPCB_RTWQMS,live_api,wt
17354010,2026-05-12 08:30:00+00:00,,1502.75,27.44357,77.71386,DSP.Cmd.Production,Conductivity,DSP.Cmd.P,11793,UT60,"UT60_Upstream of Gokul Barrage,D/s of Mathura city",,mS/cm,EC,EC,DSP_SWAN,---,Uttar Pradesh,,2022-08-02 07:00:00: FM Start: Low water<br>2022-08-05 09:00:00: FM End: Reason<br>2022-08-08 10:00:00: FM Start: Low water<br>2022-08-17 08:00:00: FM End: Reason<br>2023-07-11 07:00:00: FM Start: Reason<br>2023-07-20 15:00:00: FM End: Reason<br>2024-12-21 09:00:00: FM Start: Technical issue<br>2024-12-21 10:00:00: FM End: Technical issue,SDGAN-318,,1502.75,True,CPCB_RTWQMS,live_api,conductivity
38077010,2026-05-12 08:30:00+00:00,,38.97,25.6997,85.1937,DSP.Cmd.Production,River Stage,DSP.Cmd.P,11811,BH81,"BH81_Road Bridge on Gandak, Hajipur",,m,S,S,DSP_SWAN,---,Bihar,,2022-08-07 17:00:00: FM Start: Flood event<br>2022-11-03 13:00:00: FM End: Flood event<br>2023-08-17 14:00:00: FM Start: Reason<br>2023-10-29 15:00:00: FM End: Reason<br>2024-12-16 19:00:00: FM Start: Technical issue<br>2024-12-16 20:00:00: FM End: Technical issue,SDGAN-295,,38.97,True,CPCB_RTWQMS,live_api,s
17525010,2026-05-12 08:30:00+00:00,,12.45,24.801,87.922,DSP.Cmd.Production,Water Turbidity,DSP.Cmd.P,11815,WB86,"WB86_Farakka Barrage, Road Bridge",,NTU,WTb,WTb,DSP_SWAN,---,West Bengal,,2024-12-23 16:00:00: FM Start: Technical issue<br>2024-12-23 17:00:00: FM End: Technical issue,SDGAN-314,,12.45,True,CPCB_RTWQMS,live_api,wtb
17397010,2026-05-12 08:30:00+00:00,,34.44,25.42967,81.86069,DSP.Cmd.Production,Water Turbidity,DSP.Cmd.P,11795,UT63,"UT63_River Yamuna, U/s to Sangam at Allahabad",,NTU,WTb,WTb,DSP_SWAN,---,Uttar Pradesh,,2022-08-27 11:00:00: FM Start: Flood event<br>2022-09-05 15:00:00: FM End: Reason<br>2023-04-16 11:00:00: FM Start: Reason<br>2023-04-17 01:00:00: FM End: Reason<br>2024-12-16 19:00:00: FM Start: Technical issue<br>2024-12-16 20:00:00: FM End: Technical issue,SDGAN-294,,34.44,True,CPCB_RTWQMS,live_api,wtb
17524010,2026-05-12 08:30:00+00:00,,29.67,24.801,87.922,DSP.Cmd.Production,Water Temperature,DSP.Cmd.P,11815,WB86,"WB86_Farakka Barrage, Road Bridge",,°C,WT,WT,DSP_SWAN,---,West Bengal,,2024-12-23 16:00:00: FM Start: Technical issue<br>2024-12-23 17:00:00: FM End: Technical issue,SDGAN-314,,29.67,True,CPCB_RTWQMS,live_api,wt
17396010,2026-05-12 08:30:00+00:00,,31.27,25.42967,81.86069,DSP.Cmd.Production,Water Temperature,DSP.Cmd.P,11795,UT63,"UT63_River Yamuna, U/s to Sangam at Allahabad",,°C,WT,WT,DSP_SWAN,---,Uttar Pradesh,,2022-08-27 11:00:00: FM Start: Flood event<br>2022-09-05 15:00:00: FM End: Reason<br>2023-04-16 11:00:00: FM Start: Reason<br>2023-04-17 01:00:00: FM End: Reason<br>2024-12-16 19:00:00: FM Start: Technical issue<br>2024-12-16 20:00:00: FM End: Technical issue,SDGAN-294,,31.27,True,CPCB_RTWQMS,live_api,wt
39398010,2026-05-12 08:30:00+00:00,,52.53,25.6533,85.0952,DSP.Cmd.Production,Chloride,DSP.Cmd.P,11807,BH77,"BH77_New Bridge, U/s of Patna city, Khurji",,mg/l,CL,CL,DSP_SWAN,---,Bihar,,2022-08-23 04:00:00: FM Start: Flood event<br>2022-09-17 09:00:00: FM End: Flood event<br>2022-09-26 10:00:00: FM Start: Flood event<br>2022-10-04 15:00:00: FM End: Reason<br>2022-10-17 17:00:00: FM Start: Flood event<br>2022-10-23 14:00:00: FM End: Reason<br>2023-08-08 01:00:00: FM Start: Flood event<br>2024-03-01 13:50:00: FM End: Flood event<br>2024-03-01 13:50:00: FM Start: Flood event<br>2024-03-13 08:57:00: FM End: Flood event,SDGAN-256,,52.53,True,CPCB_RTWQMS,live_api,cl
17183010,2026-05-12 08:30:00+00:00,,4.33,25.30783,87.016618,DSP.Cmd.Production,Total Organic Carbon,DSP.Cmd.P,11822,BH75,"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",,mg/l,TOC,TOC,DSP_SWAN,---,Bihar,,2022-08-28 08:30:00: FM Start: Flood event<br>2022-09-09 13:00:00: FM End: Reason<br>2024-09-01 12:00:00: FM Start: Flood event<br>2024-11-06 00:00:00: FM End: Flood event<br>2024-12-17 11:00:00: FM Start: Technical issue<br>2024-12-17 14:00:00: FM End: Technical issue,SDGAN-299,,4.33,True,CPCB_RTWQMS,live_api,toc
17439010,2026-05-12 08:30:00+00:00,,3.13,25.920256,82.027409,DSP.Cmd.Production,Nitrate,DSP.Cmd.P,11799,UT67,"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",,mg/l,Nitrate,NO3,DSP_SWAN,---,Uttar Pradesh,,2023-11-05 15:00:00: FM Start: Technical issue<br>2024-10-20 16:00:00: FM End: Technical issue<br>2024-12-18 10:00:00: FM Start: Technical issue<br>2024-12-18 11:00:00: FM End: Technical issue,SDGAN-301,,3.13,True,CPCB_RTWQMS,live_api,nitrate
17311010,2026-05-12 08:30:00+00:00,,1.0,29.94153,78.15757,DSP.Cmd.Production,Total Organic Carbon,DSP.Cmd.P,11788,UK55,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",,mg/l,TOC,TOC,DSP_SWAN,---,Uttarakhand,,2023-07-10 05:30:00: FM Start: Reason<br>2023-07-12 11:00:00: FM End: Reason<br>2023-10-27 11:00:00: FM Start: Low water<br>2023-11-14 09:00:00: FM End: Reason<br>2024-10-16 08:00:00: FM Start: Low water<br>2024-10-31 06:00:00: FM End: Low water,SDGAN-290,,1.0,True,CPCB_RTWQMS,live_api,toc
