Station_Code,Monitoring_Location,State,River_Basin,Year,Spatial_Tags,Primary_Position,Station_Base_Name,Station_Group,Has_US_DS_Pair,Compliance_Label,Compliance_Label_Encoded,Is_Safe,Class_Weight,Binary_Class_Weight,Temperature_Min_C,Temperature_Max_C,Dissolved_Oxygen_Min_mgL,Dissolved_Oxygen_Max_mgL,pH_Min,pH_Max,Conductivity_Min_umho_cm,Conductivity_Max_umho_cm,BOD_Min_mgL,BOD_Max_mgL,Nitrate_N_Min_mgL,Nitrate_N_Max_mgL,Fecal_Coliform_Min_MPN100ml,Fecal_Coliform_Max_MPN100ml,Total_Coliform_Min_MPN100ml,Total_Coliform_Max_MPN100ml,Fecal_Streptococci_Min_MPN100ml,Fecal_Streptococci_Max_MPN100ml,Temperature_Mean_C,Dissolved_Oxygen_Mean_mgL,pH_Mean,Conductivity_Mean_umho_cm,BOD_Mean_mgL,Nitrate_N_Mean_mgL,Fecal_Coliform_Mean_MPN100ml,Total_Coliform_Mean_MPN100ml,Fecal_Streptococci_Mean_MPN100ml,Temperature_Mean_C_MinMax,Dissolved_Oxygen_Mean_mgL_MinMax,pH_Mean_MinMax,Conductivity_Mean_umho_cm_MinMax,BOD_Mean_mgL_MinMax,Nitrate_N_Mean_mgL_MinMax,Fecal_Coliform_Mean_MPN100ml_MinMax,Total_Coliform_Mean_MPN100ml_MinMax,Fecal_Streptococci_Mean_MPN100ml_MinMax,Temperature_Mean_C_Zscore,Dissolved_Oxygen_Mean_mgL_Zscore,pH_Mean_Zscore,Conductivity_Mean_umho_cm_Zscore,BOD_Mean_mgL_Zscore,Nitrate_N_Mean_mgL_Zscore,Fecal_Coliform_Mean_MPN100ml_Zscore,Total_Coliform_Mean_MPN100ml_Zscore,Fecal_Streptococci_Mean_MPN100ml_Zscore
1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,RIVER BEAS MANALI,BEAS|RIVER BEAS MANALI,True,Class_B,1,1,0.660625,0.8081039755351682,2.0,17.0,7.2,9.9,7.31,8.19,74.0,403.0,0.0,0.0,0.32,1.22,11.0,110.0,94.0,540.0,0.0,0.0,9.5,8.55,7.75,238.5,0.0,0.77,60.5,317.0,0.0,0.23809523809523808,0.75,0.019881103206315174,0.004659738518270198,0.0,0.0019472719226149079,5.041204556249011e-06,3.962326648209141e-06,0.0,-2.9275224063147487,0.9954971833434906,-0.004423737311687012,-0.23195246741833125,-0.4862047984678088,-0.1525760979764115,-0.09220587920406652,-0.06485872014102623,-0.03268773805103171
2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANALI,BEAS|RIVER BEAS MANALI,True,Class_C,2,1,0.6046910755148741,0.8081039755351682,2.0,10.0,7.9,9.9,7.06,8.48,68.0,133.0,1.8,1.8,0.33,1.49,94.0,1600.0,540.0,1600.0,0.0,0.0,6.0,8.9,7.77,100.5,1.8,0.91,847.0,1070.0,0.0,0.12698412698412698,0.7807017543859649,0.01995906831692817,0.0015755950385517934,0.012203389830508475,0.002301321363090346,7.057686378748614e-05,1.3374414869349465e-05,0.0,-3.6831862305546887,1.1994199534704049,-0.001020511591508866,-0.289393726482567,-0.27138953293314244,-0.1380139806617488,-0.08943789793430144,-0.0644491158740281,-0.03268773805103171
4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS WASTE PROCESSING FACILITY MANALI,BEAS|RIVER BEAS WASTE PROCESSING FACILITY MANALI,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,2.0,10.0,7.6,9.7,7.22,8.38,50.0,123.0,1.2,2.0,0.32,1.85,110.0,1600.0,540.0,1600.0,0.0,0.0,6.0,8.649999999999999,7.800000000000001,86.5,1.6,1.085,855.0,1070.0,0.0,0.12698412698412698,0.7587719298245612,0.020076015982847677,0.0012627109174209409,0.010847457627118645,0.002743883163684643,7.124346934864304e-05,1.3374414869349465e-05,0.0,-3.6831862305546887,1.053760831951179,0.004084326988758655,-0.2952211005905329,-0.2952578957703275,-0.11981133401842048,-0.08940974300720912,-0.0644491158740281,-0.03268773805103171
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS MANALSU NALLAH,BEAS|RIVER BEAS MANALSU NALLAH,False,Class_B,1,1,0.660625,0.8081039755351682,2.0,9.0,7.6,10.0,7.24,8.28,55.0,150.0,0.0,0.0,0.32,1.77,39.0,79.0,210.0,350.0,0.0,0.0,5.5,8.8,7.76,102.5,0.0,1.045,59.0,280.0,0.0,0.1111111111111111,0.7719298245614036,0.019920085761621673,0.001620292770141915,0.0,0.0026427261806916606,4.9162160135320925e-06,3.4998468816989255e-06,0.0,-3.7911382054461087,1.1411563048627154,-0.0027221244515979385,-0.28856124446714326,-0.4862047984678088,-0.12397193896546696,-0.09221115825289633,-0.06487884677831564,-0.03268773805103171
3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,Beas,2022,UPSTREAM|BEFORE|CONFLUENCE,UPSTREAM,RIVER BEAS . MANALSU NALLAH,BEAS|RIVER BEAS . MANALSU NALLAH,False,Class_B,1,1,0.660625,0.8081039755351682,1.0,8.0,7.7,9.9,7.25,8.48,50.0,304.0,0.0,0.0,0.32,1.78,21.0,84.0,140.0,350.0,0.0,0.0,4.5,8.8,7.865,177.0,0.0,1.05,52.5,245.0,0.0,0.07936507936507936,0.7719298245614036,0.020329402592339927,0.003285283271873952,0.0,0.0026553708035657836,4.374598995092117e-06,3.06236602148656e-06,0.0,-4.007042155228949,1.1411563048627154,0.015144810579337779,-0.25755128939261024,-0.4862047984678088,-0.12345186334708615,-0.09223403413115885,-0.06489788548926509,-0.03268773805103171
2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,Beas,2022,UPSTREAM,UPSTREAM,"RIVER BEAS, KULLU","BEAS|RIVER BEAS, KULLU",False,Class_C,2,1,0.6046910755148741,0.8081039755351682,3.0,11.0,7.8,8.9,7.52,8.45,72.0,129.0,0.0,0.0,0.32,1.59,63.0,210.0,280.0,1600.0,0.0,0.0,7.0,8.35,7.984999999999999,100.5,0.0,0.9550000000000001,136.5,940.0,0.0,0.15873015873015872,0.7324561403508771,0.020797193256017928,0.0015755950385517934,0.0,0.0024151229689574507,1.1373957387239503e-05,1.174948595998925e-05,0.0,-3.467282280771849,0.8789698861281101,0.03556416490040695,-0.289393726482567,-0.4862047984678088,-0.13333330009632152,-0.09193840739668935,-0.06451983108612605,-0.03268773805103171
4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS WASTE PROCESSING FACILITY KULLU,BEAS|RIVER BEAS WASTE PROCESSING FACILITY KULLU,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,4.0,17.0,7.8,9.7,7.53,8.48,92.0,270.0,1.1,1.1,0.32,1.7,110.0,1600.0,540.0,1600.0,0.0,0.0,10.5,8.75,8.005,181.0,1.1,1.01,855.0,1070.0,0.0,0.2698412698412698,0.7675438596491228,0.020875158366630935,0.003374678735054196,0.007457627118644068,0.002554213820572801,7.124346934864304e-05,1.3374414869349465e-05,0.0,-2.711618456531909,1.11202448055887,0.0389673906205854,-0.2558863253617628,-0.3549288028632904,-0.1276124682941326,-0.08940974300720912,-0.0644491158740281,-0.03268773805103171
1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS KULLU,BEAS|RIVER BEAS KULLU,False,Class_C,2,1,0.6046910755148741,0.8081039755351682,4.0,17.0,7.9,10.1,7.42,8.48,82.0,130.0,1.4,1.4,0.32,1.99,130.0,920.0,540.0,1600.0,0.0,0.0,10.5,9.0,7.95,106.0,1.4,1.155,525.0,1070.0,0.0,0.2698412698412698,0.7894736842105263,0.02066075431244518,0.0016985138004246283,0.009491525423728813,0.002920907883922362,4.3745989950921166e-05,1.3374414869349465e-05,0.0,-2.711618456531909,1.2576836020780946,0.0296085198900952,-0.28710440094015177,-0.3191262586075127,-0.11253027536108914,-0.09057113374976788,-0.0644491158740281,-0.03268773805103171
1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,RIVER BEAS AUT,BEAS|RIVER BEAS AUT,False,Class_B,1,1,0.660625,0.8081039755351682,6.0,17.0,7.1,8.6,7.27,8.52,58.0,123.0,0.0,0.0,0.32,2.46,43.0,110.0,210.0,540.0,0.0,0.0,11.5,7.85,7.895,90.5,0.0,1.39,76.5,375.0,0.0,0.30158730158730157,0.6885964912280701,0.020446350258259426,0.0013521063806011845,0.0,0.003515205159006132,6.374415678562798e-06,4.6872949308467755e-06,0.0,-2.495714506749069,0.5876516430896607,0.020249649159604997,-0.29355613655968554,-0.4862047984678088,-0.08808672129719108,-0.09214956934988185,-0.06482717027716714,-0.03268773805103171
2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,Beas,2022,DOWNSTREAM,DOWNSTREAM,"RIVER BEAS, PANDOH DAM","BEAS|RIVER BEAS, PANDOH DAM",False,Class_B,1,1,0.660625,0.8081039755351682,9.0,24.0,8.3,9.5,7.48,8.68,86.0,172.0,0.0,0.0,0.32,1.85,58.0,94.0,280.0,430.0,0.0,0.0,16.5,8.9,8.08,129.0,0.0,1.085,76.0,355.0,0.0,0.46031746031746024,0.7807017543859649,0.021167527531429687,0.002212537713711029,0.0,0.002743883163684643,6.332752830990492e-06,4.437305867868281e-06,0.0,-1.416194757834869,1.1994199534704049,0.0517294870712536,-0.2775308577627792,-0.4862047984678088,-0.11981133401842048,-0.09215132903282512,-0.06483804954056682,-0.03268773805103171
