source_file,original_column,normalized_column,canonical_column,mapping_method,mapping_confidence,parameter_group,non_null_count,example_values,notes
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Agency,agency,agency,Exact/Regex,High,metadata,1730,"['CWC', 'CWC', 'CWC']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,State LGD Code,state_lgd_code,state,Exact/Regex,High,metadata,1730,"[28, 28, 28]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,State,state,state,Exact/Regex,High,metadata,1730,"['Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,District LGD Code,district_lgd_code,district,Exact/Regex,High,metadata,1730,"[504, 504, 504]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,District,district,district,Exact/Regex,High,metadata,1730,"['CUDDAPAH', 'CUDDAPAH', 'CUDDAPAH']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Tehsil,tehsil,district,Exact/Regex,High,metadata,1730,"['CHAPADU', 'CHAPADU', 'CHAPADU']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Block,block,district,Exact/Regex,High,metadata,1730,"['-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Village,village,district,Exact/Regex,High,metadata,1730,"['-', '-', '-']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Basin,basin,river_name,Exact/Regex,High,metadata,1730,"['Pennar', 'Pennar', 'Pennar']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Tributary,tributary,river_name,Exact/Regex,High,metadata,1730,"['Kunderu', 'Kunderu', 'Kunderu']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Local River,local_river,river_name,Exact/Regex,High,metadata,1730,"['Kunderu', 'Kunderu', 'Kunderu']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Latitude,latitude,latitude,Exact/Regex,High,metadata,1730,"[14.71722222, 14.71722222, 14.71722222]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Longitude,longitude,longitude,Exact/Regex,High,metadata,1730,"[78.66861111, 78.66861111, 78.66861111]",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Data Acquisition Time,data_acquisition_time,sampling_date,Exact/Regex,High,metadata,1730,"['02-01-2021 08:00', '01-02-2021 08:00', '02-03-2021 08:00']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Colour,colour,colour,Exact/Regex,High,physical,1692,"['Clear', 'Clear', 'Clear']",
3f8f798f-b3e0-4caa-a34e-6ba2ea4d7eb2.csv,Odour,odour,odour,Exact/Regex,High,physical,1675,"['Odour free', 'Odour free', 'Odour free']",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,Agency,agency,agency,Exact/Regex,High,metadata,13,"['CPCB', 'CPCB', 'CPCB']",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,State LGD Code,state_lgd_code,state,Exact/Regex,High,metadata,13,"[12, 12, 12]",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,State,state,state,Exact/Regex,High,metadata,13,"['Arunachal Pradesh', 'Arunachal Pradesh', 'Arunachal Pradesh']",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,District LGD Code,district_lgd_code,district,Exact/Regex,High,metadata,13,"[237, 237, 236]",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,District,district,district,Exact/Regex,High,metadata,13,"['PAPUM PARE', 'PAPUM PARE', 'LOWER SUBANSIRI']",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,Tehsil,tehsil,district,Exact/Regex,High,metadata,13,"['DOIMUKH', 'ITANAGER', 'RAGA']",
swq_biological_parameter_manual_cpcb_ar_2021_2025.csv,Block,block,district,Exact/Regex,High,metadata,13,"['-', '-', '-']",
