parameter,non_null_count
temperature,14658
ph,13361
conductivity,12826
odour,12036
carbonate,11406
chloride,11359
bicarbonate,11278
calcium,11267
magnesium,11262
hardness,11209
sodium,10558
alkalinity,10455
sulphate,10093
colour,9727
sodium_adsorption_ratio,8647
nitrate,8114
dissolved_oxygen,7837
turbidity,7104
iron,6329
ammonia,6182
bod,5490
total_dissolved_solids,5244
fecal_coliform,4144
phosphate,2838
total_coliform,2639
copper,309
chromium,302
cadmium,295
nickel,284
arsenic,275
lead,257
zinc,245
mercury,21
total_solids,2
fluoride,0
boron,0
cod,0
manganese,0
potassium,0
