station_name,river_name,state,attempted_match_level,matched_baseline_source,matched_parameter,current_value,baseline_median,baseline_iqr,context_note,match_confidence
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",Mithi River,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",BPT Navapur ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur MIDC Nalla,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",Tarapur MIDC Nalla,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",Tarapur MIDC Nalla,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",Colour Chem ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",Sandoz ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
Nag river  near bhandewadi bridge Dist- Nagpur,,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",Chikhali Nalla,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",Bhima ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",Mutha ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",Mutha ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",Indrayani ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",Mutha ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",Thane ,Maharashtra,no_reliable_match,,,,,,No historical baseline match found for this station.,None
