station_name,river_name,state,district,month,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,top_5_model_drivers,rule_based_explanation,final_human_readable_explanation
"Amravati river at D/s. of Dondaicha, Village. Dondaicha, Taluka. Dhule, District. Dhule.",Amravati,,Dhule,Sep,Compliant,0.0,,Unknown,,Insufficient,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']","Insufficient core data (DO, BOD, pH all missing) to evaluate compliance.","Station Amravati river at D/s. of Dondaicha, Village. Dondaicha, Taluka. Dhule, District. Dhule. is predicted Compliant. Insufficient core data (DO, BOD, pH all missing) to evaluate compliance. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik.",Darna,,Nashik,Aug,Non-Compliant,1.0,5.41,Low Risk,DO (4.6 < 5); BOD (5.6 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.60 mg/L (below 5); BOD is 5.60 mg/L (above 3). Risk category: Low Risk.,"Station Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik. is predicted Non-Compliant. Non-compliant because DO is 4.60 mg/L (below 5); BOD is 5.60 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune.",Mutha,,Pune,Sep,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",Krishna,,Kolhapur,Jul,Compliant,0.0,0.0,Low Risk,,High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.,"Station Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur. is predicted Compliant. Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,,Thane,Sep,Non-Compliant,1.0,9.96,Low Risk,DO (4.5 < 5); BOD (10.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.50 mg/L (below 5); BOD is 10.00 mg/L (above 3). Risk category: Low Risk.,"Station Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane. is predicted Non-Compliant. Non-compliant because DO is 4.50 mg/L (below 5); BOD is 10.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
"Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal.",Penganga,,Chandrapur,Jul,Non-Compliant,1.0,1.7,Low Risk,BOD (5.0 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 5.00 mg/L (above 3). Risk category: Low Risk.,"Station Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal. is predicted Non-Compliant. Non-compliant because BOD is 5.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Tapi river at Ubad village near Gujratborder, Village. Ubad, Taluka. Shahada, District. Nandurbar.",Tapi,,Dhule,Jul,Non-Compliant,1.0,0.51,Low Risk,BOD (3.6 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.,"Station Tapi river at Ubad village near Gujratborder, Village. Ubad, Taluka. Shahada, District. Nandurbar. is predicted Non-Compliant. Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,,Ch. Sambhaji Nagar,Sep,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,"Station Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar. is predicted Non-Compliant. Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,,Amravati,Sep,Non-Compliant,1.0,0.77,Low Risk,BOD (3.9 > 3),High,"['bod', 'dissolved_oxygen', 'ph', 'temperature', 'conductivity']",Non-compliant because BOD is 3.90 mg/L (above 3). Risk category: Low Risk.,"Station Purna river at Kolhapur Tal- Daryapur, Dist- Amravati is predicted Non-Compliant. Non-compliant because BOD is 3.90 mg/L (above 3). Risk category: Low Risk. Top model drivers: bod, dissolved_oxygen, ph, temperature, conductivity."
Vashi Creek at Vashi Bridge,Vashi,,Thane,Aug,Non-Compliant,1.0,12.46,Low Risk,DO (4.4 < 5); BOD (12.0 > 3),High,"['dissolved_oxygen', 'bod', 'ph', 'temperature', 'conductivity']",Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,"Station Vashi Creek at Vashi Bridge is predicted Non-Compliant. Non-compliant because DO is 4.40 mg/L (below 5); BOD is 12.00 mg/L (above 3). Risk category: Low Risk. Top model drivers: dissolved_oxygen, bod, ph, temperature, conductivity."
