Experiment,Feature,Leakage_Warning
Full Model,use_based_class,General Leakage
Ablation Model,dissolved_oxygen_min_mgl,Hidden Core Leakage
Ablation Model,dissolved_oxygen_max_mgl,Hidden Core Leakage
Ablation Model,ph_min,Hidden Core Leakage
Ablation Model,ph_max,Hidden Core Leakage
Ablation Model,bod_min_mgl,Hidden Core Leakage
Ablation Model,bod_max_mgl,Hidden Core Leakage
Ablation Model,dissolved_oxygen_mean_mgl,Hidden Core Leakage
Ablation Model,ph_mean,Hidden Core Leakage
Ablation Model,bod_mean_mgl,Hidden Core Leakage
Ablation Model,total_dissolved_solids,Hidden Core Leakage
Ablation Model,type_water_body,Hidden Core Leakage
Ablation Model,name_of_water_body,Hidden Core Leakage
Ablation Model,use_based_class,General Leakage
Ablation Model,use_of_water_in_down_stream,Hidden Core Leakage
Ablation Model,odor,Hidden Core Leakage
Ablation Model,dissolved_o2,Hidden Core Leakage
Ablation Model,phenophelene_alkanity,Hidden Core Leakage
Ablation Model,sulphate,Hidden Core Leakage
Ablation Model,phosphate,Hidden Core Leakage
Ablation Model,biochemical_oxygen_demand_mg_l,Hidden Core Leakage
Ablation Model,chemical_oxygen_demand_mg_l,Hidden Core Leakage
Ablation Model,dissolved_oxygen_mg_l,Hidden Core Leakage
Ablation Model,total_dissolved_solids_mg_l,Hidden Core Leakage
Ablation Model,potential_of_hydrogen_ph,Hidden Core Leakage
Ablation Model,sulphate_mg_l,Hidden Core Leakage
Ablation Model,total_phosphorus_mgp_l,Hidden Core Leakage
Ablation Model,odour,Hidden Core Leakage
