Variant,Split_Type,Model,Accuracy,Balanced_Accuracy,Precision_NonCompliant,Recall_NonCompliant,F1_NonCompliant,ROC_AUC
Core Regulatory Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
Core Regulatory Model,Random_Split,LogisticRegression,0.925984251968504,0.9200557195817702,0.8812785388127854,0.9018691588785047,0.8914549653579676,0.9782116456145804
Core Regulatory Model,Random_Split,DecisionTree (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Random_Split,RandomForest (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Random_Split,GradientBoosting (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
Extended Clean Model,Random_Split,LogisticRegression,0.9244094488188976,0.920016871267787,0.8738738738738738,0.9065420560747663,0.8899082568807339,0.9791440051501764
Extended Clean Model,Random_Split,DecisionTree (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,RandomForest (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Random_Split,GradientBoosting (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
True Auxiliary-Only Model,Random_Split,DummyClassifier,0.662992125984252,0.5,0.0,0.0,0.0,0.5
True Auxiliary-Only Model,Random_Split,LogisticRegression,0.584251968503937,0.5727295935356406,0.4107142857142857,0.5373831775700935,0.46558704453441296,0.6261793238173463
True Auxiliary-Only Model,Random_Split,DecisionTree (depth=5),0.7228346456692913,0.6703498568162142,0.6055555555555555,0.5093457943925234,0.5532994923857868,0.721485337536351
True Auxiliary-Only Model,Random_Split,RandomForest (depth=5),0.7448818897637796,0.6950185361955291,0.6444444444444445,0.5420560747663551,0.5888324873096447,0.7661553488578595
True Auxiliary-Only Model,Random_Split,GradientBoosting (depth=5),0.8031496062992126,0.7458543299220813,0.7870967741935484,0.5700934579439252,0.6612466124661247,0.8099429484760362
Core Regulatory Model,Group_Split,DummyClassifier,0.6624605678233438,0.5,0.0,0.0,0.0,0.5
Core Regulatory Model,Group_Split,LogisticRegression,0.9132492113564669,0.9070204717400979,0.8597285067873304,0.8878504672897196,0.8735632183908046,0.9778148642634623
Core Regulatory Model,Group_Split,DecisionTree (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Group_Split,RandomForest (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Core Regulatory Model,Group_Split,GradientBoosting (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Group_Split,DummyClassifier,0.6624605678233438,0.5,0.0,0.0,0.0,0.5
Extended Clean Model,Group_Split,LogisticRegression,0.9037854889589906,0.8964396973742768,0.8461538461538461,0.8738317757009346,0.8597701149425288,0.9768802848242101
Extended Clean Model,Group_Split,DecisionTree (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Group_Split,RandomForest (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
Extended Clean Model,Group_Split,GradientBoosting (depth=5),1.0,1.0,1.0,1.0,1.0,1.0
True Auxiliary-Only Model,Group_Split,DummyClassifier,0.6624605678233438,0.5,0.0,0.0,0.0,0.5
True Auxiliary-Only Model,Group_Split,LogisticRegression,0.6277602523659306,0.604450378282154,0.456,0.5327102803738317,0.49137931034482757,0.6494270137961726
True Auxiliary-Only Model,Group_Split,DecisionTree (depth=5),0.6798107255520505,0.618524699599466,0.5317919075144508,0.42990654205607476,0.4754521963824289,0.677514463729417
True Auxiliary-Only Model,Group_Split,RandomForest (depth=5),0.7034700315457413,0.6501335113484646,0.5714285714285714,0.48598130841121495,0.5252525252525253,0.7129283489096574
True Auxiliary-Only Model,Group_Split,GradientBoosting (depth=5),0.7539432176656151,0.6985425011125945,0.6726190476190477,0.5280373831775701,0.5916230366492147,0.7667946150422784
