station_name,months_observed,months_predicted_non_compliant,months_rule_non_compliant,average_risk_score,max_risk_score,average_predicted_non_compliance_probability,most_common_violation_reason,most_severe_risk_category,first_observed_month,last_observed_month,hotspot_status
"Amba river at D/s of Waken bridge, Village. Waken phata, Taluka. Roha, District. Raigad. ( u/s of the jackwells of M/s Supreme Petrochemicals & MIDC )",3,1,1.0,0.22666666666666668,0.68,0.3333333333333333,BOD (3.8 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Amravati river at D/s. of Dondaicha, Village. Dondaicha, Taluka. Dhule, District. Dhule.",3,0,0.0,,,0.0,None,Unknown,Aug,Sep,Stable / Low Risk
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",3,3,3.0,9.993333333333334,10.76,1.0,DO (4.8 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Asna River, Dist- Nanded",3,3,3.0,3.3000000000000003,6.38,1.0,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),Low Risk,Aug,Sep,Persistent Hotspot
"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",3,3,3.0,71.19333333333333,77.6,1.0,DO (0.3 < 5); BOD (54.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Bassein creek at VasaiFort , Village. Bassein, Taluka. Vasai, District. Thane.",3,3,3.0,11.343333333333334,14.16,1.0,DO (4.4 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhatsa River at D/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",3,2,2.0,0.11333333333333334,0.17,0.6666666666666666,BOD (3.2 > 3),Low Risk,Aug,Sep,Recurring Risk
"Bhatsa River at U/s of Liberty Oil Mills, Satnel, Shahapur, Thane.",3,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Bhatsa river at D/s of Pise Dam, Village. Pise, Taluka. Bhiwandi, District. Thane.",3,1,1.0,0.05666666666666667,0.17,0.3333333333333333,BOD (3.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Bhayander creek at D/s of Railway bridge at  Jasal park choupathy, Village. Navghar, Taluka. Bhayander, District. Thane.",3,3,3.0,8.659999999999998,12.56,1.0,DO (4.6 < 5); BOD (14.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river after confluence with Mula.Mutha at Pargaon near Vasant Bandara,Village. Pargaon,Taluka. Daund, District. Pune.",3,3,3.0,9.653333333333334,23.34,1.0,DO (3.2 < 5); BOD (13.5 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river at D/s of Bundgarden, Village . Yerwada,Taluka. Haweli, District. Pune.",3,3,3.0,11.579999999999998,17.31,1.0,DO (3.9 < 5); BOD (13.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Daund near Mahadev temple,Village. Daund, Taluka. Daund, District. Pune.",3,3,3.0,7.086666666666667,17.26,1.0,DO (3.8 < 5); BOD (12.0 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Koregaon near Koregaon bridge, Village. Koregaon,Taluka. Shirur, District. Pune.",3,3,3.0,2.4033333333333333,4.83,1.0,BOD (4.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Narsingpur  near Sangam bridge after confluence with Nira, Village. Narsingpur, Taluka.Malshiros, District. Solapur.",3,3,3.0,1.8133333333333332,3.57,1.0,BOD (7.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",3,3,3.0,18.290000000000003,49.17,1.0,DO (1.3 < 5); BOD (26.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Takli near Karnataka border, Village. Takali, Taluka. South Solapur,  District. Solapur.",3,3,3.0,3.25,4.43,1.0,BOD (8.2 > 3),Low Risk,Aug,Sep,Persistent Hotspot
"Bhima river. Backwater of Ujani Dam, near raw water pump house, Village. Kumbargaon, Taluka. Indapur, District. Pune.",3,2,2.0,3.15,8.26,0.6666666666666666,DO (4.5 < 5); BOD (8.0 > 3),Low Risk,Aug,Sep,Recurring Risk
"Bhogawati River water sample at Haldi KT Weir, Tal. Karveer, Dist. Kolhapur ",2,0,0.0,0.0,0.0,0.0,None,Low Risk,Aug,Sep,Stable / Low Risk
"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",3,1,2.0,0.17666666666666667,0.36,0.3333333333333333,pH (8.6 not in 6.5-8.5),Low Risk,Aug,Sep,Intermittent Risk
"Bori river, D/S of Amalner, Village. Amalner, Taluka. Jalgaon, District. Jalgaon.",3,1,1.0,1.02,1.02,0.3333333333333333,BOD (4.2 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Burai river before confluence to Tapi river, Village. Mukudas, Taluka. Dhule, District. Dhule.",3,1,1.0,0.68,0.68,0.3333333333333333,BOD (3.8 > 3),Low Risk,Aug,Sep,Intermittent Risk
"Chandrabhaga river at D/s of Pandharpur town rear Vishnupant Mandir, Village. Gopalpur,Taluka. Pandharpur,District. Solapur.",3,3,3.0,3.2399999999999998,7.17,1.0,DO (4.7 < 5); BOD (8.6 > 3),Low Risk,Aug,Sep,Persistent Hotspot
