station_name,months_observed,months_predicted_non_compliant,months_rule_non_compliant,average_risk_score,max_risk_score,average_predicted_non_compliance_probability,most_common_violation_reason,most_severe_risk_category,first_observed_month,last_observed_month,hotspot_status
"Mithi river near Road bridge, Village. Mahim, Taluka. Bandra, District. Mumbai.",3,3,3.0,57.38666666666666,80.0,1.0,DO (0.3 < 5); BOD (38.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"BPT, Navapur, Village. Navapur, Taluka. Palghar, District. Thane.",3,3,3.0,71.19333333333333,77.6,1.0,DO (0.3 < 5); BOD (54.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( Near Sump 2), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,77.6,77.6,1.0,DO (0.3 < 5); BOD (110.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( Near Sump 3), Village. MIDC  Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,77.6,77.6,1.0,DO (0.3 < 5); BOD (210.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Tarapur MIDC Nalla ( near Sump 1), Village. MIDC Tarapur, Taluka. Palghar, District. Thane.",3,3,3.0,70.66,77.6,1.0,DO (0.3 < 5); BOD (58.0 > 3),Severe Risk,Aug,Sep,Persistent Hotspot
"Colour chem  Nalla, Village. Majiwada,Taluka. Thane,District. Thane.",3,3,3.0,54.25,74.2,1.0,DO (1.0 < 5); BOD (30.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Sandoz nalla, Village. Sandozbaug,Taluka. Thane,District. Thane.",3,3,3.0,56.23333333333334,74.2,1.0,DO (0.9 < 5); BOD (35.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",3,3,3.0,55.11666666666667,72.49,1.0,DO (0.3 < 5); BOD (44.0 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Pilli river  near, vill-mankapur on koradi road, Dist- Nagpur",3,3,3.0,40.03333333333333,69.94,1.0,DO (1.6 < 5); BOD (11.2 > 3),High Risk,Aug,Sep,Persistent Hotspot
Nag river  near bhandewadi bridge Dist- Nagpur,3,3,3.0,47.59,62.79,1.0,DO (0.3 < 5); BOD (32.6 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Nag river  near asoli road bridge, bhandara road, Dist- Nagpur",3,3,3.0,44.93666666666667,56.15,1.0,DO (0.3 < 5); BOD (24.8 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Pilli river  near wanjara layout, kamptee road, Dist-Nagpur",3,3,3.0,36.699999999999996,50.79,1.0,DO (1.2 < 5); BOD (13.9 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Chikhali nallah meets Godavari river, Village. Chikhali, Taluka. Nashik, District. Nashik.",3,3,3.0,25.58666666666667,50.37,1.0,DO (3.0 < 5); BOD (8.8 > 3),High Risk,Aug,Sep,Persistent Hotspot
"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",3,3,3.0,18.290000000000003,49.17,1.0,DO (1.3 < 5); BOD (26.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Lonar surovar lake, near kamalja devi temple. Tal- lonar Dist- Buldhana",3,3,3.0,38.62,49.14,1.0,BOD (31.0 > 3); pH (9.7 not in 6.5-8.5),Moderate Risk,Aug,Sep,Persistent Hotspot
"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",3,3,3.0,23.606666666666666,44.48,1.0,DO (2.1 < 5); BOD (28.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",3,3,3.0,20.426666666666666,43.68,1.0,DO (2.2 < 5); BOD (28.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",3,3,3.0,15.6,42.04,1.0,BOD (6.2 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",3,3,3.0,17.3,41.23,1.0,DO (2.4 < 5); BOD (27.0 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
"Thane creek at Kalwa road bridge, Village. Kalwa,Taluka. Thane,District. Thane.",3,3,3.0,12.396666666666667,31.06,1.0,BOD (8.4 > 3),Moderate Risk,Aug,Sep,Persistent Hotspot
