live_alert_id,timestamp,station_name,alert_type,severity,parameter,value,reason,recommended_action
01f9ff98-4900-44bd-867c-89e878a3fe9b,2026-05-12 08:30:00+00:00,"WB89_Durgapur barrage, Road Bridge",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
fbcc17a5-f4fc-423d-97a6-e846bede005f,2026-05-12 08:30:00+00:00,WB90_Damodar river Intake well pump house Ramgarh,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
35bccca4-f63a-49e8-b549-b3c6c38bf7fd,2026-05-12 08:30:00+00:00,"UK51_Abandoned old  bridge, Rudraprayag ",Live BOD Alert,Severe,bod,8.66,"BOD is 8.66, above required maximum of 3 mg/L.",Escalate for field verification.
5dd98423-45ec-491a-837f-a756d75f5a3d,2026-05-12 08:30:00+00:00,"UK51_Abandoned old  bridge, Rudraprayag ",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
ea10cccc-2b2e-4854-ade2-660732295344,2026-05-12 06:30:00+00:00,UK53_D/s of Tehri Dam,Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
2e4b0ff6-ca58-44ca-b129-02a63a10cad1,2026-05-12 08:30:00+00:00,"UK54_Distributing Canal, Left Bank, Rishikesh",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
5ed1d404-fc06-40a0-9e4a-d36ed99866eb,2026-05-12 08:30:00+00:00,"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",Normal Status,Normal,All,OK,All parameters within safe limits.,Continue monitoring.
af5d02c7-abb1-4c6a-8708-2803d37bfb99,2026-05-12 08:30:00+00:00,"HR56_D/s of Mohana, Sonipat",Live BOD Alert,High,bod,3.26,"BOD is 3.26, above required maximum of 3 mg/L.",Escalate for field verification.
257ba6a9-f37f-447e-9454-5c33f5d57f90,2026-05-12 08:30:00+00:00,"HR56_D/s of Mohana, Sonipat",Live ML Non-Compliance Alert,High,ML Model,1.00,Machine learning model predicts non-compliance based on available features.,Repeat sampling to confirm compliance.
2e257530-f7c2-4533-b492-a52d8e48eb3c,2026-05-12 08:30:00+00:00,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Live DO Alert,Severe,dissolved_oxygen,1.48,"DO is 1.48, below required minimum of 5 mg/L.",Escalate for field verification.
c1437ff4-a5c1-40cc-b3b2-953e470c63bc,2026-05-12 08:30:00+00:00,"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",Live BOD Alert,High,bod,5.23,"BOD is 5.23, above required maximum of 3 mg/L.",Escalate for field verification.
