station_name,latest_timestamp,ph,dissolved_oxygen,bod,live_compliance_scope,live_strict_compliance_label,live_ml_predicted_compliance_label,ml_prediction_confidence_note
"WB89_Durgapur barrage, Road Bridge",2026-05-12 08:30:00+00:00,8.47,7.4,2.52,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
WB90_Damodar river Intake well pump house Ramgarh,2026-05-12 08:30:00+00:00,8.29,7.81,1.41,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UK51_Abandoned old  bridge, Rudraprayag ",2026-05-12 08:30:00+00:00,8.03,9.23,8.66,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
UK53_D/s of Tehri Dam,2026-05-12 06:30:00+00:00,8.1,8.65,0.5,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UK54_Distributing Canal, Left Bank, Rishikesh",2026-05-12 08:30:00+00:00,8.08,9.52,0.5,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",2026-05-12 08:30:00+00:00,8.13,8.86,0.5,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"HR56_D/s of Mohana, Sonipat",2026-05-12 08:30:00+00:00,7.75,8.2,3.26,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",2026-05-12 08:30:00+00:00,7.78,1.48,5.23,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT58_River Kali East, D/s Meerut city, Kaul vill.",2026-05-12 08:30:00+00:00,8.53,9.13,4.2,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT59_River Kali East, D/s of Bulandshahr",2026-05-12 08:30:00+00:00,8.42,7.76,2.79,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UT60_Upstream of Gokul Barrage,D/s of Mathura city",2026-05-12 08:30:00+00:00,7.8,2.28,5.1,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",2026-05-12 08:30:00+00:00,7.37,7.67,1.54,Full DO/BOD/pH compliance,Compliant,Compliant,"High confidence: DO, BOD, and pH are available."
"UT63_River Yamuna, U/s to Sangam at Allahabad",2026-05-12 08:30:00+00:00,8.35,9.14,4.99,Full DO/BOD/pH compliance,Non-Compliant,Non-Compliant,"High confidence: DO, BOD, and pH are available."
