station_name,river_name,timestamp,live_ml_predicted_compliance_label,live_ml_non_compliance_probability,lime_prediction_class,lime_top_positive_features,lime_top_negative_features,lime_explanation_text,lime_status,lime_error
"WB89_Durgapur barrage, Road Bridge",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,153.75 < total_dissolved_solids <= 256.00 (0.017) | nitrate <= 0.60 (0.007),bod <= 3.20 (-0.628) | dissolved_oxygen > 6.70 (-0.080) | 7.80 < fecal_coliform <= 24.00 (-0.004),"Values like 153.75 < total_dissolved_solids <= 256.00, nitrate <= 0.60 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, 7.80 < fecal_coliform <= 24.00 reduced the risk.",Success,
WB90_Damodar river Intake well pump house Ramgarh,,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,None,bod <= 3.20 (-0.621) | dissolved_oxygen > 6.70 (-0.078) | nitrate <= 0.60 (-0.014) | 25.00 < temperature <= 26.00 (-0.014) | 153.75 < total_dissolved_solids <= 256.00 (-0.012),"Values like bod <= 3.20, dissolved_oxygen > 6.70, nitrate <= 0.60, 25.00 < temperature <= 26.00, 153.75 < total_dissolved_solids <= 256.00 reduced the risk.",Success,
"UK51_Abandoned old  bridge, Rudraprayag ",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,bod > 7.20 (0.222) | 7.90 < ph <= 8.20 (0.016),dissolved_oxygen > 6.70 (-0.088) | 25.00 < temperature <= 26.00 (-0.027) | cod > 28.00 (-0.019),"Values like bod > 7.20, 7.90 < ph <= 8.20 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 25.00 < temperature <= 26.00, cod > 28.00 reduced the risk.",Success,
UK53_D/s of Tehri Dam,,2026-05-12 06:30:00+00:00,Compliant,0.0,Compliant,None,bod <= 3.20 (-0.625) | dissolved_oxygen > 6.70 (-0.087) | 7.80 < fecal_coliform <= 24.00 (-0.014) | 25.00 < temperature <= 26.00 (-0.014) | conductivity <= 190.50 (-0.013),"Values like bod <= 3.20, dissolved_oxygen > 6.70, 7.80 < fecal_coliform <= 24.00, 25.00 < temperature <= 26.00, conductivity <= 190.50 reduced the risk.",Success,
"UK54_Distributing Canal, Left Bank, Rishikesh",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,fecal_streptococci <= 1.80 (0.016) | 153.75 < total_dissolved_solids <= 256.00 (0.011),bod <= 3.20 (-0.593) | dissolved_oxygen > 6.70 (-0.100) | nitrate <= 0.60 (-0.025),"Values like fecal_streptococci <= 1.80, 153.75 < total_dissolved_solids <= 256.00 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, nitrate <= 0.60 reduced the risk.",Success,
"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,7.90 < ph <= 8.20 (0.010),bod <= 3.20 (-0.605) | dissolved_oxygen > 6.70 (-0.074) | fecal_streptococci <= 1.80 (-0.018) | 94.00 < total_coliform <= 280.00 (-0.010),"Values like 7.90 < ph <= 8.20 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70, fecal_streptococci <= 1.80, 94.00 < total_coliform <= 280.00 reduced the risk.",Success,
"HR56_D/s of Mohana, Sonipat",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,3.20 < bod <= 4.40 (0.222) | 153.75 < total_dissolved_solids <= 256.00 (0.008),dissolved_oxygen > 6.70 (-0.075) | 345.00 < conductivity <= 703.50 (-0.013) | 7.60 < ph <= 7.90 (-0.007),"Values like 3.20 < bod <= 4.40, 153.75 < total_dissolved_solids <= 256.00 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, 345.00 < conductivity <= 703.50, 7.60 < ph <= 7.90 reduced the risk.",Success,
"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,dissolved_oxygen <= 4.90 (0.221) | 4.40 < bod <= 7.20 (0.210) | 345.00 < conductivity <= 703.50 (0.023),fecal_streptococci <= 1.80 (-0.015) | 153.75 < total_dissolved_solids <= 256.00 (-0.012),"Values like dissolved_oxygen <= 4.90, 4.40 < bod <= 7.20, 345.00 < conductivity <= 703.50 pushed the reading towards Non-Compliant. Values like fecal_streptococci <= 1.80, 153.75 < total_dissolved_solids <= 256.00 reduced the risk.",Success,
"UT58_River Kali East, D/s Meerut city, Kaul vill.",,2026-05-12 08:30:00+00:00,Non-Compliant,1.0,Non-Compliant,3.20 < bod <= 4.40 (0.237) | fecal_streptococci <= 1.80 (0.029) | 25.00 < temperature <= 26.00 (0.018),dissolved_oxygen > 6.70 (-0.081) | ph > 8.20 (-0.027),"Values like 3.20 < bod <= 4.40, fecal_streptococci <= 1.80, 25.00 < temperature <= 26.00 pushed the reading towards Non-Compliant. Values like dissolved_oxygen > 6.70, ph > 8.20 reduced the risk.",Success,
"UT59_River Kali East, D/s of Bulandshahr",,2026-05-12 08:30:00+00:00,Compliant,0.0,Compliant,94.00 < total_coliform <= 280.00 (0.021) | 1.02 < turbidity <= 2.20 (0.021) | 345.00 < conductivity <= 703.50 (0.016),bod <= 3.20 (-0.603) | dissolved_oxygen > 6.70 (-0.084),"Values like 94.00 < total_coliform <= 280.00, 1.02 < turbidity <= 2.20, 345.00 < conductivity <= 703.50 pushed the reading towards Non-Compliant. Values like bod <= 3.20, dissolved_oxygen > 6.70 reduced the risk.",Success,
