parameter,record_count,station_count,latest_timestamp,non_null_value_count,min_value,max_value,mean_value
ph,40,40,2026-05-12 08:30:00+00:00,40,7.2,8.78,8.123249999999999
wt,40,40,2026-05-12 08:30:00+00:00,40,18.62,32.83,28.6775
bod,40,40,2026-05-12 08:30:00+00:00,40,0.5,11.95,3.10125
depth,36,36,2026-05-12 08:30:00+00:00,36,0.49,3.98,1.2108333333333332
cl,36,36,2026-05-12 08:30:00+00:00,36,5.0,129.73,44.94222222222223
nitrate,40,40,2026-05-12 08:30:00+00:00,40,0.3,33.0,2.1712499999999997
conductivity,40,40,2026-05-12 08:30:00+00:00,40,156.8,1502.75,513.04025
s,36,36,2026-05-12 08:30:00+00:00,36,9.55,641.43,142.73611111111111
wtb,40,40,2026-05-12 08:30:00+00:00,40,1.71,2000.0,117.73325
toc,40,40,2026-05-12 08:30:00+00:00,40,1.0,20.92,6.5074999999999985
dissolved_oxygen,40,40,2026-05-12 08:30:00+00:00,40,0.2,9.77,7.501250000000001
cod,40,40,2026-05-12 08:30:00+00:00,40,5.0,41.84,13.9725
