source_file,available_compliance_label,count
NWMP_August2025_MPCB_0.csv,Compliant_Based_On_Available_Parameters,44
NWMP_August2025_MPCB_0.csv,Insufficient_Data,7
NWMP_August2025_MPCB_0.csv,Non-Compliant,171
NWMP_July2025.csv,Compliant_Based_On_Available_Parameters,55
NWMP_July2025.csv,Insufficient_Data,13
NWMP_July2025.csv,Non-Compliant,154
NWMP_September2025_MPCB_0.csv,Compliant_Based_On_Available_Parameters,51
NWMP_September2025_MPCB_0.csv,Insufficient_Data,1
NWMP_September2025_MPCB_0.csv,Non-Compliant,170
india_water_quality_preprocessed_phase1.csv,Compliant_Based_On_Available_Parameters,2102
india_water_quality_preprocessed_phase1.csv,Non-Compliant,1069
swq_biological_parameter_manual_cwc_ap_2021_2025.csv,Compliant_Based_On_Available_Parameters,1260
swq_biological_parameter_manual_cwc_ap_2021_2025.csv,Insufficient_Data,6
swq_biological_parameter_manual_cwc_ap_2021_2025.csv,Non-Compliant,111
swq_manual_chemical_parameters_cwc_ap_1961_2020.csv,Compliant_Based_On_Available_Parameters,2107
swq_manual_chemical_parameters_cwc_ap_1961_2020.csv,Insufficient_Data,2973
swq_manual_chemical_parameters_cwc_ap_1961_2020.csv,Non-Compliant,171
swq_manual_physical_parameters_cwc_ap_1961_2020.csv,Insufficient_Data,5250
