,count,mean,std,min,25%,50%,75%,max
station_name,3837.0,4072.6171488141777,5340.604564058577,1.0,1866.0,2710.0,4108.0,30089.0
year,3171.0,2022.5045726900032,0.5000579449057722,2022.0,2022.0,2023.0,2023.0,2023.0
compliance_label_encoded,3171.0,2.4724061810154527,1.6948926378659879,0.0,1.0,2.0,5.0,5.0
is_safe,3171.0,0.618732261116367,0.48577470849149285,0.0,0.0,1.0,1.0,1.0
class_weight,3171.0,0.9999999999999999,3.5279441862069554,0.6046910755148741,0.6046910755148741,0.6375150784077201,0.660625,75.5
binary_class_weight,3171.0,1.0,0.24449547086786022,0.8081039755351682,0.8081039755351682,0.8081039755351682,1.3114143920595531,1.3114143920595531
temperature,7853.0,23.489122628294922,5.967244285478075,1.0,20.0,25.0,28.0,39.5
temperature_1,3171.0,27.88304951119521,5.288939307089692,2.0,25.0,29.0,31.05,40.0
dissolved_oxygen_min_mgl,3171.0,5.780700094607379,1.920222273361491,0.0,5.1,6.1,7.0,11.4
dissolved_oxygen_max_mgl,3171.0,7.902084515925576,1.9042739180590293,0.0,7.0,7.9,9.0,18.3
ph,9056.0,7.753673988515902,0.646373158207955,2.0,7.3,7.83,8.24,9.8
conductivity,3816.0,891.8518081761006,4417.397130851012,5.0,140.0,217.0,352.0,77620.0
conductivity_1,3171.0,1283.5398927783033,4299.419085942034,2.0,282.0,474.0,813.0,71212.0
bod,5187.0,2.874505494505495,6.0035693395037795,0.0,1.1,1.6,2.8,210.0
bod_1,3171.0,5.7880605487228,13.867979808394844,0.0,1.8,2.6,3.9,294.0
nitrate_1,3171.0,3.8161967833491013,18.81792674253584,0.0,0.67,1.4,3.0,790.02
fecal_coliform_min_mpn100ml,3171.0,3185.693976663513,43741.24691423863,0.0,4.0,27.0,300.0,2200000.0
fecal_coliform_max_mpn100ml,3171.0,49334.44960580258,558211.6299924875,0.0,34.0,150.0,1870.0,24000000.0
total_coliform_min_mpn100ml,3171.0,5506.135698517817,71278.21699840322,0.0,39.0,190.0,920.0,3200000.0
total_coliform_max_mpn100ml,3171.0,233595.18606117944,3667761.887974696,0.0,210.0,1100.0,4700.0,160000000.0
fecal_streptococci_min_mpn100ml,3171.0,75.5027436140019,611.5175487308105,0.0,2.0,2.0,17.0,17000.0
fecal_streptococci_max_mpn100ml,3171.0,1358.244623147272,43828.24346197198,0.0,2.0,11.0,195.0,2400000.0
temperature_2,3171.0,23.059374014506464,4.63241972773256,2.0,21.0,24.0,26.05,33.5
dissolved_oxygen_mean_mgl,3171.0,6.841392305266478,1.716606735365712,0.0,6.05,7.2,7.85,11.4
conductivity_2,3171.0,795.7552034058657,2402.833208980173,30.0,216.25,346.0,578.25,44775.0
bod_2,3171.0,4.074052349416588,8.380614314369671,0.0,1.5,2.0,3.15,147.5
nitrate_2,3171.0,2.236864553768527,9.615502831908158,0.0,0.48,0.92,1.77,395.425
fecal_coliform_mean_mpn100ml,3171.0,26260.07179123305,284186.90994706587,0.0,21.0,96.5,1165.0,12001100.0
total_coliform_mean_mpn100ml,3171.0,119550.66087984863,1838649.6944240252,0.0,143.0,620.0,2697.5,80003500.0
fecal_streptococci_mean_mpn100ml,3171.0,716.8736833806371,21934.425224048173,0.0,2.0,7.5,124.5,1200340.0
temperature_3,3171.0,0.6685515560160782,0.14706094373754308,0.0,0.6031746031746031,0.6984126984126984,0.7634920634920634,1.0
dissolved_oxygen_mean_mgl_minmax,3171.0,0.600122132040919,0.1505795381899738,0.0,0.5307017543859649,0.631578947368421,0.6885964912280702,1.0
ph_3,3171.0,0.019982447400672714,0.02291279315299324,0.0,0.0185751876035474,0.0196472078744761,0.0204658415359126,1.0
conductivity_3,3171.0,0.017113760272787205,0.05370059691541336,0.0,0.00416247625433005,0.0070622415912392,0.012252765672142101,1.0
bod_3,3171.0,0.027620693894349697,0.05681772416521788,0.0,0.0101694915254237,0.0135593220338983,0.0213559322033898,1.0
nitrate_3,3171.0,0.0056568617405791475,0.024316881410907647,0.0,0.0012138837959157,0.0023266106088385,0.0044761964974394,1.0
fecal_coliform_mean_mpn100ml_minmax,3171.0,0.0021881387365518925,0.02368007182233848,0.0,1.7498395980368466e-06,8.040929581455034e-06,9.707443484347268e-05,1.0
total_coliform_mean_mpn100ml_minmax,3171.0,0.0014943178845906481,0.022982115712737873,0.0,1.787421800296237e-06,7.749660952333336e-06,3.371727486922447e-05,1.0
fecal_streptococci_mean_mpn100ml_minmax,3171.0,0.0005972255222525449,0.018273510192152342,0.0,1.6661945782028424e-06,6.248229668260659e-06,0.0001037206124931,1.0
temperature_4,3171.0,2.509643216812716e-16,1.0001577162694175,-4.546802029686049,-0.4446269838120891,0.2030848655364308,0.6456879625912529,2.2541723884734104
