Column,Missing_Count,Missing_Percentage
station_name,11878,75.58383709831371
monitoring_location,12544,79.82182628062361
state,677,4.307986000636334
river_name,72,0.45816099268215077
year,12544,79.82182628062361
spatial_tags,12544,79.82182628062361
primary_position,12544,79.82182628062361
station_name_1,11878,75.58383709831371
station_group,12544,79.82182628062361
has_us_ds_pair,12544,79.82182628062361
compliance_label,0,0.0
compliance_label_encoded,12544,79.82182628062361
is_safe,12544,79.82182628062361
class_weight,12544,79.82182628062361
binary_class_weight,12544,79.82182628062361
temperature,7862,50.02863506204264
temperature_1,12544,79.82182628062361
dissolved_oxygen_min_mgl,12544,79.82182628062361
dissolved_oxygen_max_mgl,12544,79.82182628062361
ph,6659,42.37352847597837
ph_1,11904,75.74928412344893
conductivity,11899,75.717467387846
conductivity_1,12544,79.82182628062361
bod,10528,66.99331848552339
bod_1,12544,79.82182628062361
nitrate,7866,50.05408845052498
nitrate_1,12544,79.82182628062361
fecal_coliform_min_mpn100ml,12544,79.82182628062361
fecal_coliform_max_mpn100ml,12544,79.82182628062361
total_coliform_min_mpn100ml,12544,79.82182628062361
total_coliform_max_mpn100ml,12544,79.82182628062361
fecal_streptococci_min_mpn100ml,12544,79.82182628062361
fecal_streptococci_max_mpn100ml,12544,79.82182628062361
temperature_2,12544,79.82182628062361
dissolved_oxygen_mean_mgl,12544,79.82182628062361
ph_2,11899,75.717467387846
conductivity_2,12544,79.82182628062361
bod_2,12544,79.82182628062361
nitrate_2,12544,79.82182628062361
fecal_coliform_mean_mpn100ml,12544,79.82182628062361
total_coliform_mean_mpn100ml,12544,79.82182628062361
fecal_streptococci_mean_mpn100ml,12544,79.82182628062361
temperature_3,12544,79.82182628062361
dissolved_oxygen_mean_mgl_minmax,12544,79.82182628062361
ph_3,12544,79.82182628062361
conductivity_3,12544,79.82182628062361
bod_3,12544,79.82182628062361
nitrate_3,12544,79.82182628062361
fecal_coliform_mean_mpn100ml_minmax,12544,79.82182628062361
total_coliform_mean_mpn100ml_minmax,12544,79.82182628062361
fecal_streptococci_mean_mpn100ml_minmax,12544,79.82182628062361
temperature_4,12544,79.82182628062361
dissolved_oxygen_mean_mgl_zscore,12544,79.82182628062361
ph_4,12544,79.82182628062361
conductivity_4,12544,79.82182628062361
bod_4,12544,79.82182628062361
nitrate_4,12544,79.82182628062361
fecal_coliform_mean_mpn100ml_zscore,12544,79.82182628062361
total_coliform_mean_mpn100ml_zscore,12544,79.82182628062361
fecal_streptococci_mean_mpn100ml_zscore,12544,79.82182628062361
dissolved_oxygen,13437,85.50429525930639
is_compliant,0,0.0
violation_reasons,0,0.0
violation_count,0,0.0
available_compliance_parameters,0,0.0
missing_required_parameters,0,0.0
risk_score,5286,33.63665287941458
risk_category,0,0.0
source_file,0,0.0
sampling_date,15049,95.7620108176901
month,15049,95.7620108176901
sampling_time,15049,95.7620108176901
type_water_body,15049,95.7620108176901
name_of_water_body,15115,96.18199172764874
district,3171,20.178173719376392
state_name,15049,95.7620108176901
mon_agency,15049,95.7620108176901
frequency,15049,95.7620108176901
major_polluting_sources,15261,97.11104040725421
use_based_class,15070,95.89564110722239
use_of_water_in_down_stream,15715,100.0
visibility_effluent_discharge,15323,97.50556792873051
weather,15070,95.89564110722239
approx_depth,15070,95.89564110722239
human_activities,15070,95.89564110722239
floating_matter,15070,95.89564110722239
color,15070,95.89564110722239
odor,15551,98.956411072224
flow,15075,95.92745784282532
dissolved_o2,15070,95.89564110722239
fecal_coliform,14626,93.07031498568247
total_coliform,14626,93.07031498568247
fecal_streptococci,15197,96.70378619153675
turbidity,15070,95.89564110722239
total_alkalinity,15070,95.89564110722239
chlorides,15070,95.89564110722239
cod,15070,95.89564110722239
total_kjeldahl_n,15071,95.90200445434299
amonia_n,15074,95.92109449570474
hardness_caco3,15070,95.89564110722239
calcium_caco3,15070,95.89564110722239
magnesium_caco3,15070,95.89564110722239
sulphate,15070,95.89564110722239
sodium,15070,95.89564110722239
total_dissolved_solids,15070,95.89564110722239
total_fixed_solids,15070,95.89564110722239
total_suspended_solids,15070,95.89564110722239
boron,15148,96.39198218262807
potassium,15071,95.90200445434299
flouride,15087,96.00381800827235
remark,15707,99.9490932230353
latitude,3189,20.29271396754693
longitude,3189,20.29271396754693
nitrite_n,15715,100.0
slno,3837,24.416162901686285
station,3837,24.416162901686285
agency,3837,24.416162901686285
state_lgd_code,3837,24.416162901686285
district_lgd_code,3837,24.416162901686285
tehsil,3837,24.416162901686285
block,3837,24.416162901686285
village,3837,24.416162901686285
basin,3837,24.416162901686285
tributary,3837,24.416162901686285
subtributary,3837,24.416162901686285
subsubtributary,3837,24.416162901686285
local_river,3837,24.416162901686285
data_acquisition_time,3837,24.416162901686285
chemical_oxygen_demand_mg_l,15715,100.0
amonia_n_mgn_l,12034,76.57651924912504
boron_mg_l,15715,100.0
carbonate_mg_l,11176,71.11676741966274
calcium_mg_l,11172,71.0913140311804
chloride_mg_l,11176,71.11676741966274
total_dissolved_solids_mg_l,14229,90.54406617881006
fluoride_mg_l,15715,100.0
bicarbonate_mg_l,11172,71.0913140311804
potassium_mg_l,15715,100.0
magnesium_mg_l,11172,71.0913140311804
sodium_mg_l,11315,72.00127266942413
nitrite_n_nitrate_n_mgn_l,11952,76.05472478523704
sulphate_mg_l,11290,71.84218899140949
total_phosphorus_mgp_l,13047,83.02258988227807
arsenic_mg_l,15624,99.42093541202672
total_alkalinity_mg_l_as_caco3,11232,71.47311485841553
cadmium_mg_l,15586,99.17912822144447
chromium_mg_l,15580,99.14094813872096
iron_mg_l,12123,77.14285714285715
hardness_calcium_mgcaco3_l,15580,99.14094813872096
mercury_mg_l,15683,99.79637289214128
hardness_magnesium_mg_l_as_caco3,15715,100.0
total_hardness_mgcaco3_l,11229,71.45402481705378
manganese_mg_l,15704,99.93000318167357
nickel_mg_l,15625,99.4272987591473
lead_mg_l,15580,99.14094813872096
zinc_mg_l,15603,99.28730512249443
sodium_adsorption_ratio,11406,72.58033725739739
copper_mg_l,15611,99.33821189945911
electric_conductivity_s_cm,10480,66.68787782373529
colour,11070,70.44225262488068
odour,11068,70.42952593063951
turbidity_ntu,15569,99.07095132039453
total_solids_mg_l,15715,100.0
